pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
door_vs_wall,door,wall,linear_logits,unweighted,0.9536749720573425,0.000573079667152774,0.9524031296372414,0.9547045767307282,0.9882338643074036,0.0003201969076315846,0.9876853853464127,0.9887944310903549,0.9138666391372681,0.993483304977417,0.9536749720573425,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,balanced,0.9537249803543091,0.0006142836069439296,0.9523583196103573,0.9548941679298878,0.9882547855377197,0.0003115682693157709,0.9876986280083656,0.9888620480895043,0.9139666557312012,0.993483304977417,0.9537249803543091,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,weighted,0.9536749720573425,0.0005689639418804405,0.9523549877107144,0.9544631242752075,0.9882338643074036,0.00030627942357426644,0.9876078054308891,0.9887363836169243,0.9138666391372681,0.993483304977417,0.9536749720573425,60000,60000,60000,60000,120000,1.0
door_vs_wall,door,wall,linear_logits,direct_pair_margin,0.9528083503246307,0.0006340596430073863,0.9515048071742058,0.9540489569306374,0.9989200234413147,4.457382606025622e-05,0.9988419771194458,0.9990058168768883,0.9084500074386597,0.9971666932106018,0.9528083205223083,60000,60000,60000,60000,0,
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.9510433375835419,0.0006400127289168885,0.9497001558542252,0.9519990473985672,0.9718769192695618,0.0005411281570157201,0.970849820971489,0.9728653088212014,0.9305033683776855,0.9715833067893982,0.9516279697418213,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.9510433375835419,0.0005883571060118984,0.9500527769327164,0.9524553678929806,0.9718751311302185,0.0005065015595948388,0.9710116147994995,0.9730105951428414,0.9305033683776855,0.9715833067893982,0.9516279697418213,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.9510433375835419,0.0007277416220673011,0.9497616946697235,0.9524999640882015,0.9718769192695618,0.0005590418021359136,0.9706358030438423,0.9729565411806107,0.9305033683776855,0.9715833067893982,0.9516279697418213,60000,60000,56679,60000,120000,1.0
counter_vs_cabinet,counter,cabinet,linear_logits,unweighted,0.9520110189914703,0.0006601128518803406,0.9506059117615223,0.9530791625380516,0.9734231233596802,0.000499058209847301,0.9725809887051582,0.97433852404356,0.9302387237548828,0.9737833142280579,0.9526306986808777,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,linear_logits,balanced,0.9520110189914703,0.0006130928059703505,0.951079624146223,0.953211173415184,0.97342449426651,0.0005296329749575089,0.972370271384716,0.9743656024336815,0.9302387237548828,0.9737833142280579,0.9526306986808777,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,linear_logits,weighted,0.9520110189914703,0.0006379074722712046,0.9506910420954228,0.9531995952129364,0.9734231233596802,0.0005456112529560465,0.9722479552030563,0.9744923442602158,0.9302387237548828,0.9737833142280579,0.9526306986808777,60000,60000,56679,60000,120000,1.0
counter_vs_cabinet,counter,cabinet,linear_logits,direct_pair_margin,0.95049849152565,0.0006566641593627487,0.9493187852203846,0.9515856221318245,0.9779455065727234,0.0004812303597307299,0.9769668728113174,0.9787952899932861,0.923763632774353,0.977233350276947,0.951259434223175,60000,60000,56679,60000,0,
