variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s4_mean_conf_low_thr0p8_a0p1,0.7789689524749452,0.0001622209001839181,0.6820015690215886,0.00015566759644536354,0.407548655723838,-4.1983119715094386e-05,0.43836349437433114,0.0005447305752933618
phrd_s4_mean_top_gap_low_thr0p6_a0p1,0.7789643854269139,0.00015765385215260608,0.6820116643826745,0.0001657629575312347,0.40758079570645184,-9.84313710128415e-06,0.43833939125153054,0.0005206274524927612
phrd_s4_mean_top_gap_low_thr0p7_a0p25,0.7789616368338149,0.00015490525905359487,0.6818208004108638,-2.510101427943834e-05,0.4069321140720234,-0.0006585247715297227,0.44032066794573904,0.0025019041467012615
phrd_s8_mean_top_gap_low_thr0p8_a0p25,0.7789596289004967,0.0001528973257354238,0.6817914062636043,-5.449516153888112e-05,0.40774681499430904,0.00015617615075591562,0.442605643987235,0.004786880188197229
phrd_s4_region_conf_low_thr0p9_a0p25,0.7789583963594512,0.00015166478468986444,0.6818882595035924,4.235807844921169e-05,0.40705744902243546,-0.0005331898211176633,0.4400362510966921,0.002217487297654308
phrd_s8_mean_top_gap_low_thr0p9_a0p1,0.7789525974510032,0.00014586587624187963,0.6818925716035563,4.6670178413088514e-05,0.4076678110615083,7.717221795516815e-05,0.4400121479738915,0.0021933841748537075
phrd_s8_mean_conf_low_thr0p95_a0p1,0.7789512714120578,0.00014453983729645348,0.6818950228184656,4.9121393322359985e-05,0.4076641548479562,7.35160044030847e-05,0.44001696859845163,0.00219820479941385
phrd_s4_region_entropy_score_low_thr0p7_a0p75,0.7789504565101415,0.00014372493538017395,0.6820578826381027,0.0002119812129595111,0.40821995712848314,0.0006293182849300138,0.4381803106410467,0.0003615468420088974
phrd_s4_region_conf_low_thr0p9_a0p1,0.7789501466827888,0.00014341510802751145,0.6819869791384455,0.00014107771330229557,0.40751044636801825,-8.019247553486819e-05,0.43846472749009363,0.0006459636910558508
phrd_s4_region_entropy_score_low_thr0p9_a0p1,0.7789498632523906,0.00014313167762924905,0.6819577789928123,0.00011187756766906087,0.4074461684321839,-0.00014447041136922412,0.43859006372865667,0.0007712999296188849
phrd_s4_region_conf_low_thr0p7_a0p1,0.778946975471053,0.00014024389629163636,0.6820421381758008,0.00019623675065760793,0.40774954813130415,0.00015890928775103008,0.43780430192535746,-1.4461873680315929e-05
phrd_s4_mean_top_gap_low_thr0p7_a0p1,0.778945954052493,0.00013922247773168195,0.6819272375844949,8.133615935168592e-05,0.4074230743984887,-0.00016756444506443868,0.43862862872513764,0.0008098649260998569
phrd_s4_mean_top_gap_low_thr0p6_a0p5,0.7789447762077555,0.00013804463299416092,0.6817843711465572,-6.153027858601945e-05,0.40727423036404053,-0.00031640847951258655,0.44110160912447816,0.0032828453254403756
phrd_s4_region_conf_low_thr0p95_a0p1,0.7789307980372724,0.00012406646251106324,0.681922403201571,7.650177642781752e-05,0.40738917334033503,-0.0002014655032180901,0.43871539996721975,0.0008966361681819746
phrd_s8_mean_top_gap_low_thr0p95_a0p1,0.7789256288015914,0.00011889722683011694,0.6818483649664311,2.463541287855975e-06,0.4075788488398451,-1.1790003708045393e-05,0.4401471254615748,0.0023283616625370263
phrd_s4_region_entropy_score_low_thr0p6_a0p25,0.7789226195462049,0.00011588797144357343,0.6819952580910631,0.00014935666591986418,0.40778542173767274,0.00019478289411961613,0.4378380462972783,1.9282498240513757e-05
phrd_s8_region_conf_low_thr0p6_a0p1,0.7789199569593872,0.00011322538462588128,0.6820543310417623,0.00020842961661904358,0.40774841869006306,0.00015777984650994226,0.4378187637990378,0.0
phrd_s4_mean_conf_low_thr0p9_a0p1,0.7789137513224748,0.0001070197477134327,0.681862185073053,1.628364790973169e-05,0.4073247408768972,-0.0002658979666559369,0.4388262743321025,0.0010075105330646927
phrd_s4_region_conf_low_thr0p6_a0p75,0.7789135535662954,0.00010682199153411176,0.681971111981896,0.00012521055675274173,0.40809950655493576,0.0005088677113826434,0.4384309831181728,0.0006122193191350211
phrd_s4_mean_top_gap_low_thr0p8_a0p1,0.7789105873051383,0.00010385573037696716,0.6818699324794689,2.4031054325690526e-05,0.407329063881311,-0.00026157496224210597,0.43881663308298224,0.0009978692839444636
phrd_s4_region_entropy_score_low_thr0p95_a0p1,0.7789037296261625,9.69980514011759e-05,0.6818549249014023,9.023476259084617e-06,0.40730637237918427,-0.00028426646436885417,0.43884073620578284,0.0010219724067450642
phrd_s4_region_entropy_score_low_thr0p7_a0p1,0.7788996314129999,9.289983823856929e-05,0.6819817583448894,0.00013585691974615788,0.4077646201493895,0.00017398130583640148,0.43778501942711695,-3.3744371920829686e-05
phrd_s8_mean_conf_low_thr0p6_a0p1,0.7788975502563061,9.08186815448131e-05,0.6820241925676449,0.00017829114250167422,0.40767891104909154,8.827220553841997e-05,0.4378766112937592,5.784749472143025e-05
phrd_s8_mean_conf_low_thr0p9_a0p25,0.7788970598158318,9.032824107046977e-05,0.6816842291004656,-0.00016167232467767523,0.4076882403483904,9.76015048372858e-05,0.44273098022579804,0.004912216426760263
phrd_s4_mean_conf_low_thr0p95_a0p1,0.77888053886328,7.380728851869023e-05,0.6818431864984991,-2.714926644165061e-06,0.4073028585599975,-0.00028778028355563867,0.43884555683034293,0.001026793031305151
