scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0025_01,8,Utonia,1248,6095,779,103,0.04252481833100319
scene0025_01,8,PTv3_supervised,1940,8418,1633,306,0.07576141506433487
scene0025_01,16,Concerto decoder,1322,5609,863,161,0.1050066202878952
scene0025_01,16,Sonata linear,1175,6623,752,158,0.08286140859127045
scene0025_01,16,Utonia,1248,6095,679,101,0.07141314446926117
scene0025_01,16,PTv3_supervised,1940,8418,1514,263,0.14065684378147125
scene0549_00,4,Concerto decoder,3970,1860,3841,63,0.0480380579829216
scene0549_00,4,Sonata linear,5355,4077,5211,99,0.05503854528069496
scene0549_00,4,Utonia,5227,3644,5074,129,0.05441350117325783
scene0549_00,4,PTv3_supervised,6129,2408,5896,110,0.06609486788511276
scene0549_00,8,Concerto decoder,3970,1860,3797,76,0.0733036994934082
scene0549_00,8,Sonata linear,5355,4077,5173,163,0.08207514137029648
scene0549_00,8,Utonia,5227,3644,5033,222,0.07953330129384995
scene0549_00,8,PTv3_supervised,6129,2408,5812,225,0.10229877382516861
scene0549_00,16,Concerto decoder,3970,1860,3704,211,0.12180012464523315
scene0549_00,16,Sonata linear,5355,4077,5164,489,0.13275226950645447
scene0549_00,16,Utonia,5227,3644,5043,479,0.13164803385734558
scene0549_00,16,PTv3_supervised,6129,2408,5990,708,0.17497742176055908
scene0663_01,4,Concerto decoder,2552,4943,2280,93,0.03364773839712143
scene0663_01,4,Sonata linear,3150,17710,2823,111,0.034266456961631775
scene0663_01,4,Utonia,3758,7951,3419,119,0.03872912749648094
scene0663_01,4,PTv3_supervised,2618,1476,2453,126,0.04232295602560043
scene0663_01,8,Concerto decoder,2552,4943,2229,253,0.05300572142004967
scene0663_01,8,Sonata linear,3150,17710,2827,343,0.05618487671017647
scene0663_01,8,Utonia,3758,7951,3385,396,0.057606615126132965
scene0663_01,8,PTv3_supervised,2618,1476,2397,178,0.07497679442167282
scene0663_01,16,Concerto decoder,2552,4943,2034,389,0.08036096394062042
scene0663_01,16,Sonata linear,3150,17710,2675,459,0.0757666528224945
scene0663_01,16,Utonia,3758,7951,2941,419,0.08058475703001022
scene0663_01,16,PTv3_supervised,2618,1476,2346,270,0.13974474370479584
scene0655_00,4,Concerto decoder,129,308,87,10,0.006590263452380896
scene0655_00,4,Sonata linear,138,604,97,6,0.005227760411798954
scene0655_00,4,Utonia,256,623,208,26,0.007498598657548428
scene0655_00,4,PTv3_supervised,592,142,568,6,0.012552422471344471
scene0655_00,8,Concerto decoder,129,308,81,17,0.015818564221262932
scene0655_00,8,Sonata linear,138,604,69,7,0.008175019174814224
scene0655_00,8,Utonia,256,623,171,30,0.015432039275765419
scene0655_00,8,PTv3_supervised,592,142,562,7,0.023094911128282547
scene0655_00,16,Concerto decoder,129,308,71,26,0.034748662263154984
scene0655_00,16,Sonata linear,138,604,52,10,0.011392845772206783
scene0655_00,16,Utonia,256,623,172,42,0.037763562053442
scene0655_00,16,PTv3_supervised,592,142,565,12,0.053910672664642334
scene0651_02,4,Concerto decoder,858,2347,610,111,0.02494041807949543
scene0651_02,4,Sonata linear,934,4463,597,98,0.021866057068109512
scene0651_02,4,Utonia,994,3723,645,86,0.02132560685276985
scene0651_02,4,PTv3_supervised,1119,2574,917,128,0.039036404341459274
scene0651_02,8,Concerto decoder,858,2347,461,118,0.05074023827910423
scene0651_02,8,Sonata linear,934,4463,521,155,0.04426370561122894
scene0651_02,8,Utonia,994,3723,560,157,0.04499907046556473
scene0651_02,8,PTv3_supervised,1119,2574,864,154,0.07645145803689957
scene0651_02,16,Concerto decoder,858,2347,316,98,0.09377242624759674
scene0651_02,16,Sonata linear,934,4463,414,147,0.0959785208106041
scene0651_02,16,Utonia,994,3723,437,151,0.10031984001398087
scene0651_02,16,PTv3_supervised,1119,2574,811,197,0.16398656368255615
scene0609_02,4,Concerto decoder,427,597,374,46,0.016688015311956406
scene0609_02,4,Sonata linear,265,2398,185,37,0.00985336396843195
scene0609_02,4,Utonia,255,1401,202,57,0.009208416566252708
scene0609_02,4,PTv3_supervised,313,1001,267,40,0.012236086651682854
scene0609_02,8,Concerto decoder,427,597,379,64,0.03303564339876175
scene0609_02,8,Sonata linear,265,2398,122,27,0.01698361709713936
scene0609_02,8,Utonia,255,1401,184,75,0.016643228009343147
scene0609_02,8,PTv3_supervised,313,1001,252,41,0.02438259683549404
scene0609_02,16,Concerto decoder,427,597,360,91,0.0638587549328804
scene0609_02,16,Sonata linear,265,2398,68,26,0.02920178882777691
scene0609_02,16,Utonia,255,1401,72,36,0.01982317678630352
