variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
multiproto8_adapt_tau0p1_lam0p05,0.70946287,-0.00004275,0.82232350,0.88977403,0.60488813,-0.00002663,0.36186724,-0.00000612,0.47493275,-0.00099305,0.62848968,0.60521204,0.64884358,0.61140096,0.65077789,0.72762550
multiproto4_tau0p2_lam0p05,0.70945435,-0.00005127,0.82231143,0.88976885,0.60488345,-0.00003130,0.36192288,0.00004952,0.47472547,-0.00120034,0.62843259,0.60526060,0.64873254,0.61141861,0.65077422,0.72764272
multiproto4_adapt_tau0p1_lam0p05,0.70943940,-0.00006621,0.82229748,0.88976812,0.60486890,-0.00004585,0.36188128,0.00000791,0.47491347,-0.00101233,0.62843320,0.60520156,0.64870669,0.61143588,0.65076900,0.72765471
proto_adapt_tau0p2_lam0p2,0.70943631,-0.00006931,0.82229578,0.88976963,0.60485049,-0.00006426,0.36186153,-0.00001183,0.47505327,-0.00087253,0.62834538,0.60519853,0.64872354,0.61143047,0.65075646,0.72763752
multiproto8_adapt_tau0p2_lam0p2,0.70943263,-0.00007298,0.82239622,0.88975937,0.60485993,-0.00005482,0.36181618,-0.00005719,0.47460013,-0.00132567,0.62846184,0.60507280,0.64892634,0.61135482,0.65076206,0.72762548
proto_tau0p2_lam0p1,0.70942402,-0.00008160,0.82238535,0.88975251,0.60485272,-0.00006204,0.36191666,0.00004330,0.47430125,-0.00162455,0.62841818,0.60515257,0.64872703,0.61141373,0.65070908,0.72763175
multiproto8_tau0p2_lam0p1,0.70942092,-0.00008469,0.82255632,0.88973351,0.60487313,-0.00004162,0.36191373,0.00004037,0.47351549,-0.00241031,0.62872818,0.60503773,0.64885335,0.61123239,0.65070755,0.72763899
multiproto4_adapt_tau0p2_lam0p2,0.70941984,-0.00008577,0.82237645,0.88975630,0.60483717,-0.00007758,0.36184959,-0.00002377,0.47455192,-0.00137388,0.62841452,0.60501524,0.64869223,0.61140185,0.65075070,0.72773607
multiproto8_adapt_tau0p1_lam0p1,0.70941210,-0.00009352,0.82252582,0.88974134,0.60485967,-0.00005509,0.36180371,-0.00006965,0.47395899,-0.00196681,0.62862174,0.60496990,0.64882182,0.61127984,0.65070953,0.72781113
proto_adapt_tau0p1_lam0p1,0.70940922,-0.00009639,0.82236260,0.88975742,0.60482272,-0.00009203,0.36185986,-0.00001351,0.47457121,-0.00135460,0.62829852,0.60512458,0.64868674,0.61142908,0.65069621,0.72766407
multiproto8_tau0p1_lam0p05,0.70940036,-0.00010526,0.82274052,0.88970037,0.60489776,-0.00001700,0.36192803,0.00005467,0.47239228,-0.00353352,0.62897570,0.60492133,0.64891282,0.61108508,0.65059914,0.72786219
multiproto8_adapt_tau0p05_lam0p05,0.70939850,-0.00010712,0.82252771,0.88973565,0.60485043,-0.00006432,0.36178405,-0.00008931,0.47408914,-0.00183666,0.62863922,0.60481018,0.64884742,0.61121894,0.65074296,0.72791025
multiproto4_tau0p2_lam0p1,0.70939564,-0.00010998,0.82252620,0.88972526,0.60485087,-0.00006388,0.36198397,0.00011060,0.47339015,-0.00253565,0.62856135,0.60500550,0.64866353,0.61124645,0.65070185,0.72779343
proto_adapt_tau0p05_lam0p05,0.70939552,-0.00011009,0.82241669,0.88974518,0.60482014,-0.00009462,0.36186584,-0.00000753,0.47432053,-0.00160527,0.62846570,0.60501707,0.64853750,0.61137930,0.65070820,0.72776735
multiproto4_adapt_tau0p1_lam0p1,0.70939413,-0.00011148,0.82249630,0.88973688,0.60484862,-0.00006613,0.36190209,0.00002872,0.47384329,-0.00208251,0.62848837,0.60488173,0.64864537,0.61132389,0.65071932,0.72797962
proto_tau0p1_lam0p05,0.70938403,-0.00012159,0.82249030,0.88972949,0.60482408,-0.00009067,0.36199487,0.00012151,0.47347210,-0.00245370,0.62846842,0.60505847,0.64856507,0.61132036,0.65064830,0.72771308
multiproto4_adapt_tau0p05_lam0p05,0.70937589,-0.00012972,0.82250056,0.88973025,0.60482963,-0.00008513,0.36183903,-0.00003434,0.47399755,-0.00192825,0.62850157,0.60485225,0.64858517,0.61127207,0.65072969,0.72802759
multiproto4_tau0p1_lam0p05,0.70936804,-0.00013757,0.82270595,0.88969340,0.60486932,-0.00004543,0.36192923,0.00005586,0.47233926,-0.00358654,0.62883002,0.60487759,0.64862567,0.61112131,0.65064735,0.72805407
proto_adapt_tau0p2_lam0p4,0.70933887,-0.00016675,0.82247891,0.88972921,0.60475989,-0.00015487,0.36184509,-0.00002828,0.47402165,-0.00190415,0.62828482,0.60481591,0.64857272,0.61134562,0.65066789,0.72778715
