method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_s3dis_v151_severity,retained,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,68,0.4893769166181338,0.6596811051305974,-0.05154695850538438,0.7233821464939397,0.8905468585829449,0.8035958511684294,-0.04154489648441195,0.8149437556802936,0.08931108930323847,0.03378202820040688
ptv3_s3dis_v151_severity,retained,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,68,0.21594392410038082,0.6896283954804908,-0.02159966815549097,0.7563556986174811,0.9201431549230037,0.7997922358834233,-0.04534851176941801,0.8527335474417358,0.05815901378806752,0.0026299526852359284
ptv3_s3dis_v151_severity,retained,masked_model_keep0p1,masked_model_drop_raw,0.1,0,0.0,64,68,0.11134734015657852,0.626807366015496,-0.08442069762048576,0.6975263500150517,0.8572754321371535,0.9340550738960472,0.08891432624320594,0.8118640382487093,0.027592012346256373,-0.02793704875657522
ptv3_s3dis_v151_severity,retained,feature_zero1p0,feature_zero,1.0,0,1.0,64,68,1.0,0.11467390851758083,-0.5965541551184009,0.18531474364236272,0.5417465249409632,0.0,-0.8451407476528413,0.4825496960469912,0.9978241430700447,0.9422950819672131
ptv3_s3dis_v151_severity,full_nn,clean_voxel,clean,1.0,0,0.0,64,68,1.0,0.7112280636359818,0.0,0.7725660348274653,0.9042270791597184,0.8451407476528413,0.0,0.8441095406468039,0.055529061102831595,0.0
ptv3_s3dis_v151_severity,full_nn,random_keep0p8,random_drop,0.8,0,0.0,64,68,0.7998404476572486,0.7013441836263367,-0.00988388000964513,0.7660983933941703,0.9026814593169474,0.819241545129808,-0.02589920252303335,0.8404015986093566,0.05699382584628486,0.0014647647434532646
ptv3_s3dis_v151_severity,full_nn,random_keep0p5,random_drop,0.5,0,0.0,64,68,0.5000316987142843,0.6462674428371341,-0.06496062079884768,0.716494925057722,0.8799445845197992,0.7440254162948042,-0.10111533135803707,0.8050676373624774,0.1144986161379604,0.05896955503512881
ptv3_s3dis_v151_severity,full_nn,random_keep0p2,random_drop,0.2,0,0.0,64,68,0.19989529339706197,0.4450849776617226,-0.2661430859742592,0.5221000747568274,0.773395143471094,0.3123779260671538,-0.5327628215856874,0.6764686788880644,0.5713604428358526,0.515831381733021
ptv3_s3dis_v151_severity,full_nn,random_keep0p1,random_drop,0.1,0,0.0,64,68,0.10001092612305108,0.20562604934956127,-0.5056020142864205,0.2989017875467698,0.4010738348119855,0.0017278580943342421,-0.843412889558507,0.25249755084013276,0.19857355758995104,0.14304449648711945
ptv3_s3dis_v151_severity,full_nn,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,68,0.07008266724262606,0.060011733548778964,-0.6512163300872028,0.13762548239773206,0.10555157069151037,0.0,-0.8451407476528413,0.051455903016981684,0.025863317010857995,-0.0296657440919736
ptv3_s3dis_v151_severity,full_nn,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,68,0.03504133362131303,0.006575457521231239,-0.7046526061147506,0.0834715194221623,0.009619366319347294,0.0,-0.8451407476528413,0.003954229228764898,0.00043857781562699595,-0.055090483287204596
ptv3_s3dis_v151_severity,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,68,0.017520666810656515,0.000564523450527133,-0.7106635401854546,0.07746947456391175,0.0011314227037190407,0.0,-0.8451407476528413,0.00047023134197299944,8.516074089844582e-05,-0.05544390036193315
ptv3_s3dis_v151_severity,full_nn,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,68,0.7957858986714307,0.6374198024406577,-0.07380826119532413,0.7204319885921125,0.8650621665438232,0.7758559124173514,-0.0692848352354899,0.7845752807758698,0.0752054502874175,0.019676389184585905
ptv3_s3dis_v151_severity,full_nn,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,68,0.5023828284705386,0.4895052603684989,-0.2217228032674829,0.5899010668745732,0.7847245594021651,0.5363744620964029,-0.30876628555643837,0.6852003829108391,0.18479880774962743,0.12926974664679583
ptv3_s3dis_v151_severity,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,68,0.18321624294142513,0.26264841556319685,-0.44857964807278494,0.3655447920139133,0.5808545791317389,0.2932587641173953,-0.551881983535446,0.46731324069123986,0.38134979774324035,0.3258207366404088
ptv3_s3dis_v151_severity,full_nn,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,68,0.10315464453443009,0.21408893951651356,-0.49713912411946826,0.31207232865740164,0.4870126963164534,0.11640340218712025,-0.7287373454657211,0.3809826292109263,0.3629423035980413,0.30741324249520974
ptv3_s3dis_v151_severity,full_nn,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,68,0.4893769166181338,0.2647357020956783,-0.4464923615403035,0.40692681109797485,0.5173001001667581,0.3097104514623294,-0.535430296190512,0.3753218243401989,0.20656163508622524,0.15103257398339365
ptv3_s3dis_v151_severity,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,68,0.21594392410038082,0.12106652946176137,-0.5901615341742205,0.23207514798322276,0.3058648516204951,0.11435772814910022,-0.730783019503741,0.23427636812224062,0.29416223121141155,0.23863317010857996
ptv3_s3dis_v151_severity,full_nn,masked_model_keep0p1,masked_model_drop_raw,0.1,0,0.0,64,68,0.11134734015657852,0.07443185705719889,-0.6367962065787829,0.16216443781468323,0.24069060702814102,0.04858910176785735,-0.796551645884984,0.250024227587927,0.3618522461145412,0.30632318501170963
ptv3_s3dis_v151_severity,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,68,1.0,0.11467390851758083,-0.5965541551184009,0.18531474364236272,0.5417465249409632,0.0,-0.8451407476528413,0.4825496960469912,0.9978241430700447,0.9422950819672131
