pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
counter_vs_cabinet,counter,cabinet,dino_exact,balanced,0.38697218894958496,0.055927056583286325,0.26176622323691845,0.49322862178087234,0.4265705347061157,0.0708955763908271,0.29499613419175147,0.5652510270476341,0.5,0.2739443778991699,0.2785065472126007,47,3043,20,971,94,
counter_vs_cabinet,counter,cabinet,dino_exact,weighted,0.49667867459356785,0.026897501852438666,0.4682930000126362,0.5711637511849403,0.5139032006263733,0.06600257179920299,0.3902909427881241,0.6436354249715805,0.05000000074505806,0.9433573484420776,0.9253279566764832,47,3043,20,971,3090,64.74468085106383
counter_vs_cabinet,counter,cabinet,encoder_pooled,unweighted,0.5140061751008034,0.041805282084528765,0.4280323110986501,0.5900617815554142,0.5076724886894226,0.06939685953802588,0.358014938980341,0.6250296071171759,0.20000000298023224,0.8280123472213745,0.8153380155563354,47,3043,20,971,3090,
counter_vs_cabinet,counter,cabinet,encoder_pooled,balanced,0.5203913599252701,0.053174791392431524,0.41497168093919756,0.607788361981511,0.5118434429168701,0.06859050708067489,0.388056131452322,0.6354827478528021,0.6000000238418579,0.44078269600868225,0.44399595260620117,47,3043,20,971,94,
counter_vs_cabinet,counter,cabinet,encoder_pooled,weighted,0.5205200761556625,0.05113700888383148,0.4167353242635727,0.6154422134160995,0.4912976324558258,0.06613716454047328,0.3466155931353569,0.609279103577137,0.3499999940395355,0.6910401582717896,0.6841574311256409,47,3043,20,971,3090,64.74468085106383
counter_vs_cabinet,counter,cabinet,patch_proj,unweighted,0.47098352015018463,0.03787927853833279,0.4044470902066678,0.5457646802067756,0.4595777690410614,0.05909326715996004,0.34607878401875497,0.5769606009125708,0.15000000596046448,0.7919670343399048,0.779011070728302,47,3043,20,971,3090,
counter_vs_cabinet,counter,cabinet,patch_proj,balanced,0.5710092559456825,0.032433057850787095,0.4939495399594307,0.6217301769182085,0.7116374969482422,0.06482261371628358,0.5734513327479362,0.8225913956761359,0.8999999761581421,0.24201853573322296,0.2552976906299591,47,3043,20,971,94,
counter_vs_cabinet,counter,cabinet,patch_proj,weighted,0.48390835523605347,0.04836269004944377,0.400669414550066,0.5682543888688087,0.4742533564567566,0.060461476843348884,0.34025231972336767,0.5842533379793167,0.25,0.7178167104721069,0.7083753943443298,47,3043,20,971,3090,64.74468085106383
desk_vs_wall,desk,wall,dino_exact,unweighted,0.6165028810501099,0.015108745614166197,0.585730561427772,0.6418336935341358,0.8093311786651611,0.013291285736062038,0.7841840535402298,0.8322982788085938,0.2801724076271057,0.952833354473114,0.9400752186775208,774,12000,232,12000,12774,
desk_vs_wall,desk,wall,dino_exact,balanced,0.6731020212173462,0.014211391176301979,0.6477138914167881,0.7003010220825672,0.7180190086364746,0.014436568581169838,0.6915717780590057,0.7460351839661599,0.7586206793785095,0.5875833630561829,0.5908273458480835,774,12000,232,12000,1548,
desk_vs_wall,desk,wall,dino_exact,weighted,0.6594382375478745,0.015893696064313508,0.6260229904204607,0.6882565058767796,0.8064091205596924,0.014484166523842166,0.7746893331408501,0.8315494611859321,0.4137931168079376,0.9050833582878113,0.8957651853561401,774,12000,232,12000,12774,15.503875968992247
desk_vs_wall,desk,wall,encoder_pooled,unweighted,0.720452606678009,0.016695396931936828,0.688745628669858,0.7504608854651451,0.812311053276062,0.015526490037401818,0.7829105615615845,0.8418126717209816,0.5646551847457886,0.8762500286102295,0.87034010887146,774,12000,232,12000,12774,
desk_vs_wall,desk,wall,encoder_pooled,balanced,0.6973304748535156,0.011280230819214488,0.6803764156997204,0.7207009449601173,0.7444310188293457,0.01428909826785617,0.7189044013619423,0.7719524249434471,0.8448275923728943,0.549833357334137,0.5554283857345581,774,12000,232,12000,1548,
desk_vs_wall,desk,wall,encoder_pooled,weighted,0.7011264562606812,0.017345359156412703,0.6677084848284721,0.7356659106910228,0.787068247795105,0.017396320210702945,0.7540854021906853,0.8216183140873909,0.5775862336158752,0.8246666789054871,0.8199803829193115,774,12000,232,12000,12774,15.503875968992247
desk_vs_wall,desk,wall,patch_proj,unweighted,0.67264224588871,0.01628327640557245,0.6407808281481266,0.7061625353991985,0.8272952437400818,0.013317986602031892,0.8006670281291008,0.8504286378622055,0.43103447556495667,0.9142500162124634,0.905085027217865,774,12000,232,12000,12774,
desk_vs_wall,desk,wall,patch_proj,balanced,0.7495732605457306,0.01337305186748252,0.7259988375008106,0.7743262194097041,0.7883459329605103,0.010826049615888272,0.7666776686906814,0.8062240108847618,0.8318965435028076,0.6672499775886536,0.6703727841377258,774,12000,232,12000,1548,
desk_vs_wall,desk,wall,patch_proj,weighted,0.7293864786624908,0.015429079314657543,0.696439677476883,0.7565896548330784,0.812637209892273,0.01386668417468022,0.7854480087757111,0.8357506677508354,0.6206896305084229,0.8380833268165588,0.8339601159095764,774,12000,232,12000,12774,15.503875968992247
desk_vs_table,desk,table,dino_exact,unweighted,0.8496062457561493,0.009982209313225819,0.8334595799446106,0.8700927525758744,0.9207381010055542,0.010974587182564454,0.9005272969603538,0.9398586511611938,0.8965517282485962,0.8026607632637024,0.8164038062095642,774,1409,232,1353,2183,
desk_vs_table,desk,table,dino_exact,balanced,0.8374700546264648,0.010869564616716251,0.8114544451236725,0.8562124483287334,0.9212159514427185,0.011609236830568704,0.896808671951294,0.9394505545496941,0.9181034564971924,0.7568366527557373,0.7804416418075562,774,1409,232,1353,1548,
desk_vs_table,desk,table,dino_exact,weighted,0.851084440946579,0.010185435005694084,0.831911601871252,0.8693357355892658,0.922241747379303,0.010736997432169012,0.8970992147922516,0.9394668728113175,0.8965517282485962,0.8056171536445618,0.8189274668693542,774,1409,232,1353,2183,1.8204134366925064
desk_vs_table,desk,table,encoder_pooled,unweighted,0.8959209322929382,0.01163233809642281,0.8715528413653374,0.912949624657631,0.9389224648475647,0.011219349217234501,0.9144288912415505,0.9616000294685364,0.9137930870056152,0.8780487775802612,0.8832807540893555,774,1409,232,1353,2183,
desk_vs_table,desk,table,encoder_pooled,balanced,0.8618013560771942,0.012322640851751363,0.8377841167151928,0.8846162259578705,0.9310758709907532,0.011379327942688859,0.9090648636221885,0.9505533665418625,0.8965517282485962,0.8270509839057922,0.8372239470481873,774,1409,232,1353,1548,
desk_vs_table,desk,table,encoder_pooled,weighted,0.8860673606395721,0.01155894749272298,0.8652726493775844,0.9056004151701927,0.9382279515266418,0.010251286754656013,0.9174965411424637,0.9584840834140778,0.9051724076271057,0.8669623136520386,0.8725551962852478,774,1409,232,1353,2183,1.8204134366925064
desk_vs_table,desk,table,patch_proj,unweighted,0.8868685960769653,0.011655042305195054,0.8626556232571602,0.9089589767158032,0.9401903748512268,0.009815796322038993,0.9178319573402405,0.9557202816009521,0.9008620977401733,0.8728750944137573,0.8769716024398804,774,1409,232,1353,2183,
desk_vs_table,desk,table,patch_proj,balanced,0.8919148445129395,0.00902346209608809,0.8764513351023198,0.9093138493597507,0.9461764693260193,0.008459414476347312,0.9296124324202537,0.9621413618326187,0.9353448152542114,0.8484848737716675,0.8611987233161926,774,1409,232,1353,1548,
desk_vs_table,desk,table,patch_proj,weighted,0.8836047649383545,0.011745416337336428,0.8620704926550389,0.9049622744321824,0.9374856352806091,0.009428288519655227,0.9190185442566872,0.9531735211610795,0.8965517282485962,0.8706578016281128,0.8744479417800903,774,1409,232,1353,2183,1.8204134366925064
sink_vs_cabinet,sink,cabinet,dino_exact,unweighted,0.5,0.0,0.5,0.5,0.5745917558670044,0.04031433346896168,0.5012431785464286,0.6705072119832038,0.0,1.0,0.9857867956161499,19,3043,14,971,3062,
sink_vs_cabinet,sink,cabinet,dino_exact,balanced,0.38693541288375854,0.05292474653451786,0.2840150069445372,0.47950841970741725,0.297263503074646,0.05027973090469611,0.20543070025742055,0.39477342069149013,0.2857142984867096,0.4881565272808075,0.4852792024612427,19,3043,14,971,38,
sink_vs_cabinet,sink,cabinet,dino_exact,weighted,0.49536558985710144,0.0014952406890372887,0.49227601289749146,0.4979402720928192,0.5717963576316833,0.04206614387367192,0.5039999023079872,0.663364353775978,0.0,0.9907311797142029,0.9766497611999512,19,3043,14,971,3062,160.1578947368421
sink_vs_cabinet,sink,cabinet,encoder_pooled,unweighted,0.4974253475666046,0.0011187559961906843,0.49536558985710144,0.4989701211452484,0.5544357895851135,0.04154462199868061,0.4684346079826355,0.6239315092563629,0.0,0.9948506951332092,0.9807106852531433,19,3043,14,971,3062,
sink_vs_cabinet,sink,cabinet,encoder_pooled,balanced,0.5310431122779846,0.04598091823653449,0.4391781337559223,0.6081874357536435,0.6282919049263,0.06493523277511476,0.5180134758353233,0.7464120209217071,0.8571428656578064,0.20494335889816284,0.21421319246292114,19,3043,14,971,38,
sink_vs_cabinet,sink,cabinet,encoder_pooled,weighted,0.44284242391586304,0.0052716812864502935,0.429891861975193,0.4516220360994339,0.5385464429855347,0.0489581988817702,0.43158378526568414,0.606215988099575,0.0,0.8856848478317261,0.8730964660644531,19,3043,14,971,3062,160.1578947368421
