variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s8_region_entropy_score_thr0p8_a0p1,0.4095164131272556,0.0004644525009739886,0.2904419702042848,0.0007107501225698809,0.6364659538547757,0.007894525283382303,0.024203069657615112,-0.0017709563164108634
phrd_s8_region_conf_thr0p7_a0p1,0.4095058826950496,0.0004539220687679868,0.2908271383404495,0.0010959182587345628,0.6397970687711025,0.011225640199709175,0.024793388429752067,-0.001180637544273909
phrd_s8_pred_agreement_thr0p9_a0p25,0.40948590233353394,0.0004339417072523055,0.29056678852180834,0.0008355684400934149,0.6350364963503293,0.006465067778935962,0.025974025974025976,0.0
phrd_s8_pred_agreement_thr0p8_a0p1,0.4094758942336732,0.00042393360739156893,0.2907135088951534,0.000982288813438481,0.6386083052749361,0.010036876703542696,0.024203069657615112,-0.0017709563164108634
phrd_s4_region_conf_thr0p7_a0p25,0.4094659711903277,0.0004140105640460523,0.2909321457867871,0.0012009257050721867,0.6407386681588897,0.012167239587496326,0.024203069657615112,-0.0017709563164108634
phrd_s8_pred_agreement_thr0p7_a0p1,0.4094574064502141,0.0004054458239324821,0.29088633001344916,0.0011551099317342328,0.6400898371700932,0.011518408598699792,0.024203069657615112,-0.0017709563164108634
phrd_s4_region_entropy_score_thr0p6_a0p25,0.4094360269747022,0.0003840663484205864,0.291322925259417,0.001591705177702074,0.6438969764837266,0.015325547912333204,0.024203069657615112,-0.0017709563164108634
phrd_s4_mean_conf_thr0p6_a0p25,0.4094149710660835,0.00036301043980185854,0.29088997534164446,0.0011587552599295337,0.6407386681588897,0.012167239587496326,0.024203069657615112,-0.0017709563164108634
phrd_s4_region_entropy_score_thr0p6_a0p5,0.4093343502907126,0.0002823896644309487,0.2921616764741891,0.0024304563924741895,0.6543830262422862,0.025811597670892805,0.023022432113341203,-0.0029515938606847723
phrd_s4_pred_agreement_thr0p7_a0p25,0.4093125040081057,0.00026054338182407433,0.29060109846325916,0.0008698783815442312,0.636261891438129,0.007690462866735581,0.024203069657615112,-0.0017709563164108634
