method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_scannet200_v151_severity,full_nn,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,312,0.19518424251761574,0.21011732773577121,-0.13188493226862755,0.27773872512975484,0.7618532178453197,0.14809243529322458,-0.21600643365301742,0.6978816880004308,0.7920112616575752,0.3287656167517156
ptv3_scannet200_v151_severity,full_nn,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,312,0.09759212125880787,0.11696698982519596,-0.2250352701792028,0.153363536388617,0.6599486465236347,0.03700290944444845,-0.32709595950179354,0.5703054115884278,0.9248782919819344,0.4616326470760748
ptv3_scannet200_v151_severity,full_nn,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,312,0.048796060629403934,0.04155496456020083,-0.3004472954441979,0.05534299121144375,0.5419351738993944,0.019099172709631282,-0.3449996962366107,0.45724582500212346,0.9227667311865798,0.45952108628072025
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,312,0.8124615527116336,0.2872923130586757,-0.054709946945723065,0.3963818436072904,0.7912315325165049,0.3237529967388835,-0.04034587220735847,0.7440029879682502,0.519759223414863,0.05651357850900346
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,312,0.4928703133542186,0.1857853310285833,-0.15621692897581546,0.2800711048543629,0.6808383842846527,0.21024739879266274,-0.15385147015357925,0.5935811713418823,0.6376473693471758,0.17440172444131624
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,312,0.20663398733804336,0.08577396305233304,-0.2562282969520657,0.13256979218209047,0.5016676352418495,0.11789898223528879,-0.24619988671095322,0.40858810677650254,0.5135785090034606,0.050332864097601016
ptv3_scannet200_v151_severity,full_nn,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,312,0.10830141938048399,0.04982756055734802,-0.29217469944705077,0.07751941304484525,0.3909183765333858,0.03736542440406818,-0.3267334445421738,0.3107027760425709,0.5798873834242477,0.11664173851838816
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p5,masked_model_drop_raw,0.5,0,0.0,64,312,0.4930061462509447,0.10943142701720682,-0.23257083298719194,0.19605773371875024,0.48754672867147136,0.10509253984858052,-0.25900632909766147,0.406959634710747,0.5999692064050678,0.13672356149920822
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p2,masked_model_drop_raw,0.2,0,0.0,64,312,0.20420559492888807,0.04252552182993503,-0.29947673817446374,0.07399122640149683,0.31590930884380775,0.04575528466052064,-0.31834358428572135,0.28898938676380936,0.5350020529063289,0.07175640800046929
ptv3_scannet200_v151_severity,full_nn,masked_model_keep0p1,masked_model_drop_raw,0.1,0,0.0,64,312,0.09607882034707445,0.023094943888272067,-0.3189073161161267,0.038435030397081314,0.25191680928744653,0.04487554119008144,-0.3192233277561606,0.24489376098346038,0.5305516452577864,0.06730600035192685
ptv3_scannet200_v151_severity,full_nn,feature_zero1p0,feature_zero,1.0,0,1.0,64,312,1.0,0.0018621994009449228,-0.34014006060345386,0.005585035082213774,0.27604845847944426,0.0,-0.364098868946242,0.2563887948000412,1.0,0.5367543550941405
