domain,model,task,metric,stress_type,severity,condition,clean_score,stress_score,raw_damage,null_score,B_down,observed_keep_frac,source
scene,Utonia,ScanNet20,mIoU,random_keep,0.2,random_keep0p2,0.7580185294461793,0.7468912708443749,0.011127258601804413,0.7477332733134819,1.081864997647484,0.199951248382532,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,random_keep,0.1,random_keep0p1,0.7580185294461793,0.7230496986910209,0.03496883075515844,0.7477332733134819,3.399898875049954,0.10000892757662899,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,structured_keep,0.8,structured_b1p28m_keep0p8,0.7580185294461793,0.6853511858371515,0.07266734360902782,0.7477332733134819,7.065195331209545,0.795895261835403,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,structured_keep,0.5,structured_b1p28m_keep0p5,0.7580185294461793,0.5272397745054426,0.23077875494073674,0.7477332733134819,22.437822837204692,0.4859426647235669,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,structured_keep,0.2,structured_b1p28m_keep0p2,0.7580185294461793,0.28998294244824485,0.46803558699793446,0.7477332733134819,45.50548678219345,0.21209021601541997,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,structured_keep,0.1,structured_b1p28m_keep0p1,0.7580185294461793,0.1912294105164935,0.5667891189296859,0.7477332733134819,55.10695228365128,0.10594917921287546,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.7580185294461793,0.3935151888049554,0.3645033406412239,0.7477332733134819,35.43940334965976,0.5027020840742402,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.7580185294461793,0.22411391034365616,0.5339046191025232,0.7477332733134819,51.90970571993945,0.20325047638497415,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.7580185294461793,0.1479738600391208,0.6100446694070585,0.7477332733134819,59.31254035256295,0.09750126228876374,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,fixed_budget,16000,fixed_points_16000,0.7580185294461793,0.7121794250774909,0.04583910436868843,0.7477332733134819,4.45677810812737,0.13692081075005988,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,fixed_budget,8000,fixed_points_8000,0.7580185294461793,0.6230489102127863,0.134969619233393,0.7477332733134819,13.122630831167875,0.06846040537502994,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,fixed_budget,4000,fixed_points_4000,0.7580185294461793,0.42429305336186696,0.33372547608431236,0.7477332733134819,32.44697767159939,0.03423020268751497,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,feature_zero,1.0,feature_zero,0.7580185294461793,0.7477332733134819,0.010285256132697373,0.7477332733134819,1.0,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,feat_zero_color_normal,,feat_zero_color_normal,0.7580185294461793,0.7470656935412924,0.010952835904886937,0.7477332733134819,1.0649064800697858,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,feat_zero_coord,,feat_zero_coord,0.7580185294461793,0.7583512374858797,-0.0003327080397004245,0.7477332733134819,-0.03234805583914707,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,raw_wo_color,,raw_wo_color,0.7580185294461793,0.7554223843214867,0.0025961451246926392,0.7477332733134819,0.252414241434334,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,raw_wo_normal,,raw_wo_normal,0.7580185294461793,0.7526780238834708,0.005340505562708486,0.7477332733134819,0.5192389468776316,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,Utonia,ScanNet20,mIoU,raw_wo_color_normal,,raw_wo_color_normal,0.7580185294461793,0.7480233066033481,0.009995222842831164,0.7477332733134819,0.9718010629852787,1.0,tools/concerto_projection_shortcut/results_support_severity_utonia/utonia_scannet_support_stress.csv
scene,PTv3,ScanNet20,mIoU,clean,1.0,clean_voxel,0.771287754340529,0.771287754340529,0.0,0.027053203227411303,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,random_keep,0.8,random_keep0p8,0.771287754340529,0.7675839351944798,0.0037038191460492254,0.027053203227411303,0.0049766826069947865,0.8000785484910011,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,random_keep,0.5,random_keep0p5,0.771287754340529,0.7571670557588408,0.014120698581688185,0.027053203227411303,0.018973452066379477,0.5000052340328693,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,random_keep,0.2,random_keep0p2,0.771287754340529,0.6963146532469561,0.07497310109357291,0.027053203227411303,0.10073853865214813,0.19981445066439799,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,random_keep,0.1,random_keep0p1,0.771287754340529,0.5594701604507233,0.2118175938898057,0.027053203227411303,0.2846113413748391,0.10006327654879826,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,fixed_budget,16000,fixed_points_16000,0.771287754340529,0.603114482374051,0.16817327196647802,0.027053203227411303,0.22596810604257614,0.19518424251761574,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,fixed_budget,8000,fixed_points_8000,0.771287754340529,0.412097657979114,0.35919009636141497,0.027053203227411303,0.48263023508407493,0.09759212125880787,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,fixed_budget,4000,fixed_points_4000,0.771287754340529,0.20350210760877538,0.5677856467317536,0.027053203227411303,0.7629122376575268,0.048796060629403934,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,structured_keep,0.8,structured_b64_keep0p8,0.771287754340529,0.6614834321926837,0.1098043221478453,0.027053203227411303,0.1475399415192643,0.8044661329342768,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,structured_keep,0.5,structured_b64_keep0p5,0.771287754340529,0.49275654927387674,0.27853120506665224,0.027053203227411303,0.3742519137952757,0.5077883978254902,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,structured_keep,0.2,structured_b64_keep0p2,0.771287754340529,0.25012883572510974,0.5211589186154193,0.027053203227411303,0.7002616551945159,0.1919022957775222,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,structured_keep,0.1,structured_b64_keep0p1,0.771287754340529,0.15640485221726483,0.6148829021232641,0.027053203227411303,0.8261950499390439,0.1049280800334833,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.771287754340529,0.3137715105664087,0.4575162437741203,0.027053203227411303,0.614747384530635,0.49269114968950334,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.771287754340529,0.13879346019173483,0.6324942941487941,0.027053203227411303,0.849858815615052,0.1970380659425908,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.771287754340529,0.08944065892790344,0.6818470954126256,0.027053203227411303,0.9161723201278655,0.1052208111849475,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet20,mIoU,feature_zero,1.0,feature_zero1p0,0.771287754340529,0.027053203227411303,0.7442345511131176,0.027053203227411303,1.0,1.0,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet20.csv
scene,PTv3,ScanNet200,mIoU,clean,1.0,clean_voxel,0.34200226000439876,0.34200226000439876,0.0,0.0018621994009449228,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,random_keep,0.8,random_keep0p8,0.34200226000439876,0.34278650729886523,-0.0007842472944664669,0.0018621994009449228,-0.002305659889267696,0.80003521973506,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,random_keep,0.5,random_keep0p5,0.34200226000439876,0.32612038663204806,0.015881873372350697,0.0018621994009449228,0.046692157766345235,0.49981151931943035,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,random_keep,0.2,random_keep0p2,0.34200226000439876,0.25905605519987146,0.0829462048045273,0.0018621994009449228,0.24385896991189354,0.2000097437069202,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,random_keep,0.1,random_keep0p1,0.34200226000439876,0.15513982192959944,0.18686243807479933,0.0018621994009449228,0.549369097375006,0.09995260956482245,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,fixed_budget,16000,fixed_points_16000,0.34200226000439876,0.21011732773577121,0.13188493226862755,0.0018621994009449228,0.38773713403427423,0.19518424251761574,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,fixed_budget,8000,fixed_points_8000,0.34200226000439876,0.11696698982519596,0.2250352701792028,0.0018621994009449228,0.6615959019351034,0.09759212125880787,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,fixed_budget,4000,fixed_points_4000,0.34200226000439876,0.04155496456020083,0.3004472954441979,0.0018621994009449228,0.8833046448900029,0.048796060629403934,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,structured_keep,0.8,structured_b64_keep0p8,0.34200226000439876,0.2872923130586757,0.054709946945723065,0.0018621994009449228,0.16084534955588684,0.8124615527116336,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,structured_keep,0.5,structured_b64_keep0p5,0.34200226000439876,0.1857853310285833,0.15621692897581546,0.0018621994009449228,0.4592723617990359,0.4928703133542186,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,structured_keep,0.2,structured_b64_keep0p2,0.34200226000439876,0.08577396305233304,0.2562282969520657,0.0018621994009449228,0.7533023205131514,0.20663398733804336,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,structured_keep,0.1,structured_b64_keep0p1,0.34200226000439876,0.04982756055734802,0.29217469944705077,0.0018621994009449228,0.8589834991170809,0.10830141938048399,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.34200226000439876,0.10943142701720682,0.23257083298719194,0.0018621994009449228,0.6837501956534618,0.4930061462509447,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.34200226000439876,0.04252552182993503,0.29947673817446374,0.0018621994009449228,0.8804512401248827,0.20420559492888807,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
scene,PTv3,ScanNet200,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.34200226000439876,0.023094943888272067,0.3189073161161267,0.0018621994009449228,0.9375764664425078,0.09607882034707445,tools/concerto_projection_shortcut/results_support_severity_ptv3_scannet200.csv
