scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0046_00,16,Utonia,1407,9722,772,253,0.08598316460847855
scene0046_00,16,PTv3_supervised,3578,9443,3128,256,0.17521215975284576
scene0378_00,4,Concerto decoder,1025,3203,840,89,0.02735324203968048
scene0378_00,4,Sonata linear,1390,9620,1062,113,0.027767276391386986
scene0378_00,4,Utonia,1356,5446,1045,105,0.028289319947361946
scene0378_00,4,PTv3_supervised,1247,1067,1141,106,0.03657899796962738
scene0378_00,8,Concerto decoder,1025,3203,755,113,0.05115119367837906
scene0378_00,8,Sonata linear,1390,9620,884,143,0.03865816816687584
scene0378_00,8,Utonia,1356,5446,918,171,0.04276250675320625
scene0378_00,8,PTv3_supervised,1247,1067,1097,158,0.07948552072048187
scene0378_00,16,Concerto decoder,1025,3203,614,132,0.1074238121509552
scene0378_00,16,Sonata linear,1390,9620,708,123,0.0696387067437172
scene0378_00,16,Utonia,1356,5446,711,166,0.08260877430438995
scene0378_00,16,PTv3_supervised,1247,1067,1026,207,0.15530773997306824
scene0609_01,4,Concerto decoder,1155,427,1116,28,0.027897236868739128
scene0609_01,4,Sonata linear,311,720,250,20,0.013036723248660564
scene0609_01,4,Utonia,313,1183,249,11,0.010908967815339565
scene0609_01,4,PTv3_supervised,451,132,423,38,0.017573682591319084
scene0609_01,8,Concerto decoder,1155,427,1100,33,0.04630400985479355
scene0609_01,8,Sonata linear,311,720,222,23,0.02357417903840542
scene0609_01,8,Utonia,313,1183,224,18,0.01620021089911461
scene0609_01,8,PTv3_supervised,451,132,422,59,0.03909891098737717
scene0609_01,16,Concerto decoder,1155,427,1067,27,0.07836669683456421
scene0609_01,16,Sonata linear,311,720,215,29,0.050424426794052124
scene0609_01,16,Utonia,313,1183,199,40,0.0368698351085186
scene0609_01,16,PTv3_supervised,451,132,416,69,0.08593204617500305
scene0609_03,4,Concerto decoder,58,209,45,5,0.005303889513015747
scene0609_03,4,Sonata linear,47,618,25,4,0.0032523851841688156
scene0609_03,4,Utonia,245,694,187,8,0.009506971575319767
scene0609_03,4,PTv3_supervised,78,138,63,10,0.00833944883197546
scene0609_03,8,Concerto decoder,58,209,37,5,0.011658549308776855
scene0609_03,8,Sonata linear,47,618,19,3,0.006604843772947788
scene0609_03,8,Utonia,245,694,148,13,0.0124758156016469
scene0609_03,8,PTv3_supervised,78,138,60,11,0.016895724460482597
scene0609_03,16,Concerto decoder,58,209,26,6,0.023984255269169807
scene0609_03,16,Sonata linear,47,618,11,2,0.0069551002234220505
scene0609_03,16,Utonia,245,694,112,4,0.0228167325258255
scene0609_03,16,PTv3_supervised,78,138,61,15,0.050837282091379166
scene0553_02,4,Concerto decoder,320,432,265,41,0.020070746541023254
scene0553_02,4,Sonata linear,267,1071,201,25,0.013899569399654865
scene0553_02,4,Utonia,260,801,188,22,0.014168716967105865
scene0553_02,4,PTv3_supervised,312,359,240,21,0.01582205481827259
scene0553_02,8,Concerto decoder,320,432,251,46,0.04121808707714081
scene0553_02,8,Sonata linear,267,1071,186,29,0.03281682729721069
scene0553_02,8,Utonia,260,801,177,31,0.03170178458094597
scene0553_02,8,PTv3_supervised,312,359,255,56,0.032509226351976395
scene0553_02,16,Concerto decoder,320,432,224,66,0.08468548208475113
scene0553_02,16,Sonata linear,267,1071,154,41,0.0511188879609108
scene0553_02,16,Utonia,260,801,135,28,0.06255767494440079
scene0553_02,16,PTv3_supervised,312,359,244,92,0.10725545883178711
scene0488_01,4,Concerto decoder,1109,1710,927,115,0.04500395432114601
scene0488_01,4,Sonata linear,1475,3374,1141,100,0.037864137440919876
scene0488_01,4,Utonia,1296,2960,1073,154,0.03940886631608009
scene0488_01,4,PTv3_supervised,988,1138,843,96,0.043714649975299835
scene0488_01,8,Concerto decoder,1109,1710,893,174,0.08437632769346237
scene0488_01,8,Sonata linear,1475,3374,1038,143,0.06367450952529907
scene0488_01,8,Utonia,1296,2960,990,165,0.0714833065867424
scene0488_01,8,PTv3_supervised,988,1138,835,157,0.09247703850269318
scene0488_01,16,Concerto decoder,1109,1710,814,195,0.17453019320964813
scene0488_01,16,Sonata linear,1475,3374,913,171,0.12456364184617996
scene0488_01,16,Utonia,1296,2960,851,145,0.10268199443817139
scene0488_01,16,PTv3_supervised,988,1138,786,171,0.18879766762256622
scene0131_01,4,Concerto decoder,5180,2192,4954,119,0.06441095471382141
scene0131_01,4,Sonata linear,5410,12201,5135,114,0.05836324766278267
scene0131_01,4,Utonia,5556,5025,5204,137,0.062117986381053925
scene0131_01,4,PTv3_supervised,3899,10439,3690,104,0.05619926005601883
scene0131_01,8,Concerto decoder,5180,2192,4953,194,0.11115171760320663
scene0131_01,8,Sonata linear,5410,12201,5067,155,0.0898127630352974
scene0131_01,8,Utonia,5556,5025,5107,201,0.09103090316057205
scene0131_01,8,PTv3_supervised,3899,10439,3676,147,0.09773784130811691
scene0131_01,16,Concerto decoder,5180,2192,4839,201,0.15919660031795502
scene0131_01,16,Sonata linear,5410,12201,4939,192,0.12452259659767151
scene0131_01,16,Utonia,5556,5025,4965,313,0.1453527957201004
scene0131_01,16,PTv3_supervised,3899,10439,3625,204,0.17333419620990753
scene0702_01,4,Concerto decoder,391,5413,330,54,0.021518534049391747
scene0702_01,4,Sonata linear,621,3799,502,47,0.024366574361920357
scene0702_01,4,Utonia,581,2024,499,47,0.02972511202096939
scene0702_01,4,PTv3_supervised,790,5287,686,49,0.036454927176237106
scene0702_01,8,Concerto decoder,391,5413,227,44,0.03423978388309479
scene0702_01,8,Sonata linear,621,3799,360,72,0.032256703823804855
scene0702_01,8,Utonia,581,2024,486,107,0.0575726255774498
scene0702_01,8,PTv3_supervised,790,5287,640,165,0.06797324866056442
scene0702_01,16,Concerto decoder,391,5413,205,62,0.07828948646783829
scene0702_01,16,Sonata linear,621,3799,261,119,0.031581610441207886
scene0702_01,16,Utonia,581,2024,402,175,0.08033585548400879
scene0702_01,16,PTv3_supervised,790,5287,445,161,0.12324634194374084
scene0025_01,4,Concerto decoder,1162,5681,986,135,0.029217028990387917
scene0025_01,4,Sonata linear,1168,6562,904,120,0.025836080312728882
scene0025_01,4,Utonia,1225,6433,953,137,0.02759229578077793
scene0025_01,4,PTv3_supervised,1940,8418,1721,215,0.041557490825653076
scene0025_01,8,Concerto decoder,1162,5681,876,144,0.052705228328704834
scene0025_01,8,Sonata linear,1168,6562,806,124,0.04493843764066696
scene0025_01,8,Utonia,1225,6433,772,106,0.04278777912259102
scene0025_01,8,PTv3_supervised,1940,8418,1633,306,0.07576141506433487
scene0025_01,16,Concerto decoder,1162,5681,788,163,0.09913691878318787
scene0025_01,16,Sonata linear,1168,6562,724,134,0.07657848298549652
scene0025_01,16,Utonia,1225,6433,708,135,0.07483165711164474
scene0025_01,16,PTv3_supervised,1940,8418,1514,263,0.14065684378147125
scene0549_00,4,Concerto decoder,4238,1768,4085,63,0.049815960228443146
scene0549_00,4,Sonata linear,4642,4046,4488,73,0.049468714743852615
scene0549_00,4,Utonia,5316,3829,5171,161,0.054427389055490494
scene0549_00,4,PTv3_supervised,6129,2408,5896,110,0.06609486788511276
scene0549_00,8,Concerto decoder,4238,1768,4044,75,0.07744287699460983
scene0549_00,8,Sonata linear,4642,4046,4418,100,0.07904021441936493
scene0549_00,8,Utonia,5316,3829,5115,247,0.08379054069519043
scene0549_00,8,PTv3_supervised,6129,2408,5812,225,0.10229877382516861
scene0549_00,16,Concerto decoder,4238,1768,4049,306,0.1254948228597641
scene0549_00,16,Sonata linear,4642,4046,4388,297,0.12176539748907089
scene0549_00,16,Utonia,5316,3829,5134,436,0.13652336597442627
scene0549_00,16,PTv3_supervised,6129,2408,5990,708,0.17497742176055908
scene0663_01,4,Concerto decoder,2466,4695,2192,85,0.03288421407341957
scene0663_01,4,Sonata linear,3262,18436,2942,127,0.035503894090652466
scene0663_01,4,Utonia,3756,7892,3423,149,0.03834078088402748
scene0663_01,4,PTv3_supervised,2618,1476,2453,126,0.04232295602560043
scene0663_01,8,Concerto decoder,2466,4695,2087,157,0.04919467866420746
scene0663_01,8,Sonata linear,3262,18436,2920,324,0.05659954994916916
scene0663_01,8,Utonia,3756,7892,3401,407,0.05783698707818985
scene0663_01,8,PTv3_supervised,2618,1476,2397,178,0.07497679442167282
scene0663_01,16,Concerto decoder,2466,4695,1986,352,0.0833624079823494
scene0663_01,16,Sonata linear,3262,18436,2712,464,0.07012578099966049
scene0663_01,16,Utonia,3756,7892,3040,473,0.07796507328748703
scene0663_01,16,PTv3_supervised,2618,1476,2346,270,0.13974474370479584
scene0655_00,4,Concerto decoder,144,314,104,9,0.007314999122172594
scene0655_00,4,Sonata linear,157,586,115,12,0.005962159018963575
scene0655_00,4,Utonia,238,608,183,22,0.006194074638187885
scene0655_00,4,PTv3_supervised,592,142,568,6,0.012552422471344471
scene0655_00,8,Concerto decoder,144,314,101,21,0.018707845360040665
scene0655_00,8,Sonata linear,157,586,92,18,0.009402237832546234
scene0655_00,8,Utonia,238,608,147,26,0.01329648494720459
scene0655_00,8,PTv3_supervised,592,142,562,7,0.023094911128282547
scene0655_00,16,Concerto decoder,144,314,97,37,0.04352279379963875
scene0655_00,16,Sonata linear,157,586,81,21,0.020524514839053154
scene0655_00,16,Utonia,238,608,171,69,0.03830469772219658
scene0655_00,16,PTv3_supervised,592,142,565,12,0.053910672664642334
scene0651_02,4,Concerto decoder,964,2308,705,120,0.026659224182367325
scene0651_02,4,Sonata linear,926,4434,596,103,0.022902656346559525
scene0651_02,4,Utonia,983,3819,662,126,0.021981235593557358
scene0651_02,4,PTv3_supervised,1119,2574,917,128,0.039036404341459274
scene0651_02,8,Concerto decoder,964,2308,580,147,0.05696869641542435
scene0651_02,8,Sonata linear,926,4434,521,160,0.043067626655101776
scene0651_02,8,Utonia,983,3819,547,140,0.04456493631005287
scene0651_02,8,PTv3_supervised,1119,2574,864,154,0.07645145803689957
scene0651_02,16,Concerto decoder,964,2308,459,156,0.11388424038887024
scene0651_02,16,Sonata linear,926,4434,386,141,0.09963763505220413
scene0651_02,16,Utonia,983,3819,439,148,0.09990342706441879
scene0651_02,16,PTv3_supervised,1119,2574,811,197,0.16398656368255615
scene0609_02,4,Concerto decoder,451,597,398,47,0.01557727251201868
scene0609_02,4,Sonata linear,268,2356,180,26,0.010041473433375359
scene0609_02,4,Utonia,277,1408,219,47,0.009593593887984753
scene0609_02,4,PTv3_supervised,313,1001,267,40,0.012236086651682854
scene0609_02,8,Concerto decoder,451,597,400,62,0.031898025423288345
scene0609_02,8,Sonata linear,268,2356,124,21,0.017073191702365875
scene0609_02,8,Utonia,277,1408,178,46,0.01388428546488285
scene0609_02,8,PTv3_supervised,313,1001,252,41,0.02438259683549404
scene0609_02,16,Concerto decoder,451,597,369,77,0.07351505011320114
scene0609_02,16,Sonata linear,268,2356,69,17,0.026998218148946762
scene0609_02,16,Utonia,277,1408,92,25,0.023119574412703514
scene0609_02,16,PTv3_supervised,313,1001,243,49,0.04946388676762581
scene0700_00,4,Concerto decoder,4601,6654,4296,140,0.06706944108009338
scene0700_00,4,Sonata linear,10908,6997,10462,278,0.10733702778816223
scene0700_00,4,Utonia,9379,6868,9017,181,0.09703249484300613
scene0700_00,4,PTv3_supervised,6522,6822,6362,133,0.07849010825157166
scene0700_00,8,Concerto decoder,4601,6654,4195,299,0.11329939216375351
scene0700_00,8,Sonata linear,10908,6997,10269,487,0.14556674659252167
scene0700_00,8,Utonia,9379,6868,8896,324,0.13092006742954254
scene0700_00,8,PTv3_supervised,6522,6822,6310,171,0.12230055034160614
scene0700_00,16,Concerto decoder,4601,6654,3661,309,0.17288707196712494
scene0700_00,16,Sonata linear,10908,6997,10165,764,0.21477486193180084
scene0700_00,16,Utonia,9379,6868,8770,492,0.1878361999988556
scene0700_00,16,PTv3_supervised,6522,6822,6225,226,0.1997753381729126
scene0406_00,4,Concerto decoder,272,457,177,22,0.025364691391587257
scene0406_00,4,Sonata linear,281,1031,159,20,0.02227884717285633
scene0406_00,4,Utonia,244,1123,148,21,0.021904805675148964
scene0406_00,4,PTv3_supervised,293,333,202,32,0.032611746340990067
scene0406_00,8,Concerto decoder,272,457,161,30,0.05248270183801651
scene0406_00,8,Sonata linear,281,1031,137,26,0.03978866711258888
scene0406_00,8,Utonia,244,1123,133,37,0.04177576303482056
scene0406_00,8,PTv3_supervised,293,333,204,48,0.06739760935306549
scene0406_00,16,Concerto decoder,272,457,144,35,0.0990041121840477
scene0406_00,16,Sonata linear,281,1031,113,33,0.08177482336759567
scene0406_00,16,Utonia,244,1123,90,34,0.06611184030771255
scene0406_00,16,PTv3_supervised,293,333,208,84,0.17413970828056335
scene0351_01,4,Concerto decoder,1667,1265,1531,82,0.028129588812589645
scene0351_01,4,Sonata linear,1653,2806,1551,66,0.021290238946676254
scene0351_01,4,Utonia,1896,2093,1783,72,0.026957523077726364
scene0351_01,4,PTv3_supervised,1801,1733,1676,88,0.028694938868284225
scene0351_01,8,Concerto decoder,1667,1265,1462,104,0.0460897795855999
scene0351_01,8,Sonata linear,1653,2806,1483,140,0.039526209235191345
scene0351_01,8,Utonia,1896,2093,1714,92,0.04153251275420189
scene0351_01,8,PTv3_supervised,1801,1733,1628,113,0.04627593234181404
scene0351_01,16,Concerto decoder,1667,1265,1350,186,0.08225836604833603
scene0351_01,16,Sonata linear,1653,2806,1405,225,0.06501520425081253
scene0351_01,16,Utonia,1896,2093,1490,145,0.06810393929481506
scene0351_01,16,PTv3_supervised,1801,1733,1562,91,0.09195894002914429
scene0164_03,4,Concerto decoder,1923,1679,1761,64,0.05502951145172119
scene0164_03,4,Sonata linear,1400,3254,1188,50,0.03885364532470703
scene0164_03,4,Utonia,2064,2889,1865,55,0.04953760653734207
scene0164_03,4,PTv3_supervised,1633,5799,1488,54,0.05733358487486839
scene0164_03,8,Concerto decoder,1923,1679,1704,76,0.0866868644952774
scene0164_03,8,Sonata linear,1400,3254,1097,66,0.06129470095038414
scene0164_03,8,Utonia,2064,2889,1759,70,0.06576082110404968
scene0164_03,8,PTv3_supervised,1633,5799,1473,84,0.10450398921966553
scene0164_03,16,Concerto decoder,1923,1679,1726,207,0.14985954761505127
scene0164_03,16,Sonata linear,1400,3254,1016,97,0.08581889420747757
scene0164_03,16,Utonia,2064,2889,1709,111,0.09923302382230759
scene0164_03,16,PTv3_supervised,1633,5799,1460,128,0.20533093810081482
scene0423_01,4,Concerto decoder,54,13,48,4,0.005052115302532911
scene0423_01,4,Sonata linear,25,129,8,4,0.0007357449503615499
scene0423_01,4,Utonia,28,89,24,8,0.003899448085576296
scene0423_01,4,PTv3_supervised,58,9,55,6,0.00527283875271678
scene0423_01,8,Concerto decoder,54,13,54,13,0.01439607609063387
scene0423_01,8,Sonata linear,25,129,7,4,0.000662170466966927
scene0423_01,8,Utonia,28,89,24,8,0.009760882705450058
scene0423_01,8,PTv3_supervised,58,9,58,9,0.01439607609063387
scene0423_01,16,Concerto decoder,54,13,54,13,0.03722869232296944
scene0423_01,16,Sonata linear,25,129,0,0,0.0
scene0423_01,16,Utonia,28,89,16,5,0.018786020576953888
scene0423_01,16,PTv3_supervised,58,9,58,9,0.03722869232296944
