class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
17,sink,topk,10,66776,0.9928188049183009,0.9921806674749843,0.9934569423616174,67259
17,sink,topk,20,67259,1.0,1.0,1.0,67259
17,sink,topk_plus_confusion_graph,1,53300,0.79245900176928,0.7893940671085274,0.7955239364300325,67259
17,sink,topk_plus_confusion_graph,2,61043,0.9075811415572637,0.9053923525450817,0.9097699305694457,67259
17,sink,topk_plus_confusion_graph,3,63520,0.9444089266863914,0.9426772634388427,0.9461405899339401,67259
17,sink,topk_plus_confusion_graph,5,64421,0.9578049034329978,0.956285579465388,0.9593242274006077,67259
2,cabinet,topk,1,827579,0.8281495950710039,0.8274099294829725,0.8288892606590353,999311
2,cabinet,topk,2,912567,0.9131961921764096,0.9126441691779743,0.9137482151748448,999311
2,cabinet,topk,3,947749,0.9484024492875591,0.9479687221319812,0.948836176443137,999311
2,cabinet,topk,5,976891,0.9775645419694169,0.977274175858508,0.9778549080803258,999311
2,cabinet,topk,10,997222,0.9979095596866241,0.9978200087330175,0.9979991106402307,999311
2,cabinet,topk,20,999311,1.0,1.0,1.0,999311
2,cabinet,topk_plus_confusion_graph,1,839986,0.8405651493879283,0.8398473830994395,0.841282915676417,999311
2,cabinet,topk_plus_confusion_graph,2,916847,0.9174791431296163,0.9169396502688039,0.9180186359904288,999311
2,cabinet,topk_plus_confusion_graph,3,948644,0.9492980663677274,0.948867916992224,0.9497282157432309,999311
2,cabinet,topk_plus_confusion_graph,5,976946,0.9776195798905446,0.9773295619927737,0.9779095977883155,999311
15,shower curtain,topk,1,76438,0.7565497104963627,0.7539033803096225,0.7591960406831029,101035
15,shower curtain,topk,2,85531,0.8465482258623249,0.8443257760761053,0.8487706756485446,101035
15,shower curtain,topk,3,91644,0.9070520116791211,0.9052615862342801,0.9088424371239621,101035
15,shower curtain,topk,5,98248,0.9724154995793537,0.9714055989422188,0.9734254002164886,101035
15,shower curtain,topk,10,100427,0.99398228336715,0.9935053855473369,0.9944591811869631,101035
15,shower curtain,topk,20,101035,1.0,1.0,1.0,101035
15,shower curtain,topk_plus_confusion_graph,1,76438,0.7565497104963627,0.7539033803096225,0.7591960406831029,101035
15,shower curtain,topk_plus_confusion_graph,2,85531,0.8465482258623249,0.8443257760761053,0.8487706756485446,101035
15,shower curtain,topk_plus_confusion_graph,3,91644,0.9070520116791211,0.9052615862342801,0.9088424371239621,101035
15,shower curtain,topk_plus_confusion_graph,5,98248,0.9724154995793537,0.9714055989422188,0.9734254002164886,101035
7,door,topk,1,930153,0.8559939630142597,0.8553338171193152,0.8566541089092041,1086635
7,door,topk,2,1050845,0.9670634573706902,0.9667278892330651,0.9673990255083154,1086635
7,door,topk,3,1077621,0.9917046662402739,0.9915341277801376,0.9918752047004101,1086635
7,door,topk,5,1084352,0.9978990185296811,0.997812925372286,0.9979851116870762,1086635
7,door,topk,10,1086136,0.9995407841639558,0.9995005010611713,0.9995810672667402,1086635
7,door,topk,20,1086635,1.0,1.0,1.0,1086635
7,door,topk_plus_confusion_graph,1,1037166,0.9544750537208906,0.9540831122314047,0.9548669952103764,1086635
7,door,topk_plus_confusion_graph,2,1082434,0.9961339364183925,0.9960172534172761,0.996250619419509,1086635
7,door,topk_plus_confusion_graph,3,1086007,0.9994220690480244,0.9993768806785016,0.9994672574175473,1086635
7,door,topk_plus_confusion_graph,5,1086513,0.9998877267895844,0.9998678050198425,0.9999076485593262,1086635
