method,score_space,variant,keep,mIoU,delta_mIoU,focus_iou,delta_focus_iou,focus_to_confusion,source_csv
PTv3 ScanNet20,full_nn,feature_zero1p0,1.0,0.02685186020820509,-0.7428706691072424,0.0,-0.3916632252735906,1.0,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet20.csv
PTv3 ScanNet200,retained,clean_voxel,1.0,0.34584174878107093,0.0,0.3770745272525026,0.0,0.4595371905677266,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,full_nn,clean_voxel,1.0,0.34584174878107093,0.0,0.3770745272525026,0.0,0.4595371905677266,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,retained,random_keep0p2,0.19998730107759818,0.2668929087944455,-0.07894883998662544,0.24180608246781443,-0.1352684447846882,0.6540273891915771,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,full_nn,random_keep0p2,0.19998730107759818,0.2579310887640678,-0.08791066001700315,0.23238337333489625,-0.14469115391760637,0.6647566361942215,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,retained,classwise_keep0p2,0.19995483861137658,0.2645905151950303,-0.08125123358604064,0.24531905567036058,-0.13175547158214204,0.6492758936755271,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,full_nn,classwise_keep0p2,0.19995483861137658,0.2561039170559772,-0.08973783172509375,0.23658410892902587,-0.14049041832347675,0.6559597352859177,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,retained,structured_b64_keep0p2,0.19774703933552912,0.2424949087358528,-0.10334684004521813,0.3609289754241945,-0.016145551828308125,0.5432634220390966,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,full_nn,structured_b64_keep0p2,0.19774703933552912,0.07720586599677846,-0.26863588278429246,0.08950030491085838,-0.28757422234164426,0.5035877268925443,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,retained,feature_zero1p0,1.0,0.0018621541759775984,-0.3439795946050933,0.0,-0.3770745272525026,1.0,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
PTv3 ScanNet200,full_nn,feature_zero1p0,1.0,0.0018621541759775984,-0.3439795946050933,0.0,-0.3770745272525026,1.0,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_scannet200.csv
