source,region_size,threshold,class_id,class_name,counterpart_id,counterpart_name,target_points,valid_points,proposals,target_proposals,mean_target_purity,mean_counterpart_contam,counterpart_majority_point_frac,counterpart_dominates_point_frac,base_pred_target_majority_frac,base_pred_counterpart_majority_frac,scene_count,scene_mean_best_proposal_cover,candidate_recall,candidate_point_frac,candidate_region_count,candidate_mean_size
pred_cc,4,0.5,12,desk,6,table,655163,11338343,5397,983,0.88857652649736,0.00471882949279431,0.005829083754729739,0.007459212440262958,0.8475035983411762,0.03260257371066437,84,0.7526767903065059,0.9226299409459936,0.056022471713900346,585,1085.8153846153846
pred_cc,4,0.7,12,desk,6,table,655163,11338343,5397,983,0.88857652649736,0.00471882949279431,0.005829083754729739,0.007459212440262958,0.8475035983411762,0.03260257371066437,84,0.7526767903065059,0.9198306375665293,0.055752679205418286,556,1136.9478417266187
pred_cc,4,0.8,12,desk,6,table,655163,11338343,5397,983,0.88857652649736,0.00471882949279431,0.005829083754729739,0.007459212440262958,0.8475035983411762,0.03260257371066437,84,0.7526767903065059,0.9073803007801112,0.05476091171346642,536,1158.391791044776
pred_cc,4,0.9,12,desk,6,table,655163,11338343,5397,983,0.88857652649736,0.00471882949279431,0.005829083754729739,0.007459212440262958,0.8475035983411762,0.03260257371066437,84,0.7526767903065059,0.824075840668658,0.04918540566289095,502,1110.918326693227
pred_cc,4,0.5,15,shower curtain,0,wall,158208,3028157,1279,166,0.9367909554910505,0.03537493306977869,0.024177032766990292,0.03038405137540453,0.8703036508899676,0.06095140574433657,27,0.9056940851124546,0.9665440432847896,0.05242528706404589,112,1417.4285714285713
pred_cc,4,0.7,15,shower curtain,0,wall,158208,3028157,1279,166,0.9367909554910505,0.03537493306977869,0.024177032766990292,0.03038405137540453,0.8703036508899676,0.06095140574433657,27,0.9056940851124546,0.9558176577669902,0.05156965111122046,108,1445.9351851851852
pred_cc,4,0.8,15,shower curtain,0,wall,158208,3028157,1279,166,0.9367909554910505,0.03537493306977869,0.024177032766990292,0.03038405137540453,0.8703036508899676,0.06095140574433657,27,0.9056940851124546,0.9277786205501618,0.04960079678827749,105,1430.4666666666667
pred_cc,4,0.9,15,shower curtain,0,wall,158208,3028157,1279,166,0.9367909554910505,0.03537493306977869,0.024177032766990292,0.03038405137540453,0.8703036508899676,0.06095140574433657,27,0.9056940851124546,0.9032286610032363,0.04812696303395101,100,1457.36
pred_cc,4,0.5,17,sink,2,cabinet,102489,8406141,3917,279,0.8055592975858947,0.06636410575468704,0.03294012040316522,0.04279483651904107,0.8356604123369337,0.08929738801237205,80,0.8527446634598081,0.8828947496804536,0.012379283193084675,145,717.6689655172414
pred_cc,4,0.7,17,sink,2,cabinet,102489,8406141,3917,279,0.8055592975858947,0.06636410575468704,0.03294012040316522,0.04279483651904107,0.8356604123369337,0.08929738801237205,80,0.8527446634598081,0.8057450067812155,0.010896557647557899,129,710.062015503876
pred_cc,4,0.8,17,sink,2,cabinet,102489,8406141,3917,279,0.8055592975858947,0.06636410575468704,0.03294012040316522,0.04279483651904107,0.8356604123369337,0.08929738801237205,80,0.8527446634598081,0.6574168935202802,0.008509731159636746,102,701.3137254901961
pred_cc,4,0.9,17,sink,2,cabinet,102489,8406141,3917,279,0.8055592975858947,0.06636410575468704,0.03294012040316522,0.04279483651904107,0.8356604123369337,0.08929738801237205,80,0.8527446634598081,0.5131379952970563,0.0064371987098479555,84,644.1904761904761
pred_cc,8,0.5,7,door,0,wall,1600191,26006346,7461,1241,0.836740416699312,0.11674201293514103,0.06324744983567587,0.07477794838241185,0.8913998391442022,0.07763510730906498,219,0.7433873560574276,0.9095864181213368,0.06214194796916107,602,2684.5265780730897
pred_cc,8,0.7,7,door,0,wall,1600191,26006346,7461,1241,0.836740416699312,0.11674201293514103,0.06324744983567587,0.07477794838241185,0.8913998391442022,0.07763510730906498,219,0.7433873560574276,0.8892625942778081,0.060123325283759584,563,2777.2433392539965
pred_cc,8,0.8,7,door,0,wall,1600191,26006346,7461,1241,0.836740416699312,0.11674201293514103,0.06324744983567587,0.07477794838241185,0.8913998391442022,0.07763510730906498,219,0.7433873560574276,0.8165175282200687,0.05426371701737722,516,2734.8856589147285
pred_cc,8,0.9,7,door,0,wall,1600191,26006346,7461,1241,0.836740416699312,0.11674201293514103,0.06324744983567587,0.07477794838241185,0.8913998391442022,0.07763510730906498,219,0.7433873560574276,0.612109429436861,0.03963586426174596,418,2465.9904306220096
pred_cc,8,0.5,10,picture,0,wall,207442,11815899,3469,351,0.5325113694396414,0.42654035686314506,0.44818792722785167,0.4536496948544653,0.5010942817751468,0.47367456927719553,90,0.6858075750250742,0.5270774481541829,0.010814750532312437,181,706.0
pred_cc,8,0.7,10,picture,0,wall,207442,11815899,3469,351,0.5325113694396414,0.42654035686314506,0.44818792722785167,0.4536496948544653,0.5010942817751468,0.47367456927719553,90,0.6858075750250742,0.5085758910924499,0.01026904512301603,165,735.3818181818182
pred_cc,8,0.8,10,picture,0,wall,207442,11815899,3469,351,0.5325113694396414,0.42654035686314506,0.44818792722785167,0.4536496948544653,0.5010942817751468,0.47367456927719553,90,0.6858075750250742,0.3830853925434579,0.0073901274883950855,123,709.9268292682926
pred_cc,8,0.9,10,picture,0,wall,207442,11815899,3469,351,0.5325113694396414,0.42654035686314506,0.44818792722785167,0.4536496948544653,0.5010942817751468,0.47367456927719553,90,0.6858075750250742,0.2076628648007636,0.0037976797195033575,74,606.3918918918919
pred_cc,8,0.5,11,counter,2,cabinet,221560,5035488,1589,413,0.7581325200881515,0.09875421165924982,0.050546127459830295,0.06974183065535296,0.7850649936811699,0.10115995667087922,47,0.648919832842768,0.8475853042065354,0.04308043232354044,178,1218.7134831460673
pred_cc,8,0.7,11,counter,2,cabinet,221560,5035488,1589,413,0.7581325200881515,0.09875421165924982,0.050546127459830295,0.06974183065535296,0.7850649936811699,0.10115995667087922,47,0.648919832842768,0.8210146235782633,0.041135039940518175,156,1327.7884615384614
