expert,class,A,B,C,D,A_frac,B_frac,C_frac,D_frac,B_over_A
Sonata linear,counter,18930,9192,164190,29248,0.08543961003791298,0.0414876331467774,0.7410633688391406,0.13200938797616898,0.48557844690966717
Sonata linear,desk,61281,51633,500563,41686,0.09353550185221082,0.07880939552447254,0.7640281884050228,0.06362691421829376,0.8425613159054193
Sonata linear,curtain,55616,13159,558278,30310,0.08460470090345822,0.02001785923454773,0.8492689731548627,0.046108466707131375,0.2366045742232451
Sonata linear,refridgerator,38010,4423,157216,23609,0.1702514579544742,0.019811160182389882,0.7041897714751543,0.10574761038798161,0.11636411470665614
Sonata linear,shower curtain,10832,8917,117089,21370,0.0684668284789644,0.05636251011326861,0.7400953175566343,0.13507534385113268,0.8232090103397341
Sonata linear,toilet,2091,1405,108378,1787,0.018396811571251354,0.012361320065809733,0.9535196769340407,0.015722191428898215,0.6719273075083692
Sonata linear,sink,8530,2972,77587,13400,0.0832284440281396,0.02899823395681488,0.7570275834479798,0.13074573856706573,0.34841735052754985
Sonata linear,bathtub,3402,2719,87002,3232,0.03530693788594261,0.02821856675834155,0.9029318665352083,0.0335426288205075,0.7992357436801881
Sonata linear,otherfurniture,302213,87301,919343,328320,0.18459396876452577,0.05332410606794501,0.561541604847857,0.20054032031967223,0.2888724177980431
Utonia,wall,383376,229897,9938232,384987,0.03505475064581952,0.021021091589515175,0.9087221021146452,0.03520205565002014,0.5996645590751638
Utonia,floor,93978,50059,8707703,131556,0.010461416388817646,0.0055724535849648055,0.9693216164757346,0.01464451355048303,0.5326672199876566
Utonia,cabinet,122349,58446,1084600,134500,0.08739869775947481,0.041750274127702436,0.774772393643809,0.09607863446901374,0.47769904126719465
Utonia,bed,51555,14580,798901,50259,0.05632610251339732,0.015929290556596507,0.872834441354973,0.054910165575033185,0.28280477160314227
Utonia,chair,144695,28806,2928920,91682,0.045300668137502144,0.009018494394200813,0.9169773172624678,0.028703520205829305,0.19908082518400774
Utonia,sofa,29781,15719,704976,39293,0.03770849450915394,0.019903288176669382,0.8926356947411205,0.04975252257305617,0.527819750847856
Utonia,table,150573,28253,1194517,105544,0.10181508120633963,0.01910423176348159,0.8077135034657821,0.07136718356439674,0.1876365616677625
Utonia,door,107569,78657,1304383,109582,0.06722260030208894,0.04915475715086511,0.8151420674157023,0.0684805751313437,0.7312236796846675
Utonia,window,108166,53661,1109299,114005,0.07809080873938999,0.03874074004552638,0.8008621567201947,0.08230629449488894,0.49609858920548044
Utonia,bookshelf,22892,72079,983960,46388,0.02034267616560282,0.06405205990479144,0.8743831749041827,0.041222089025423014,3.148654551808492
Utonia,picture,33436,16580,88220,69206,0.16118240279210574,0.07992595520675659,0.42527549869361075,0.3336161433075269,0.49587271204689554
Utonia,counter,12753,16481,170367,21959,0.05756002888608052,0.07438617078895107,0.7689429499909731,0.0991108503339953,1.2923233748921823
Utonia,desk,42182,34045,519662,59274,0.06438397772767998,0.05196416769567268,0.7931797125295537,0.09047214204709363,0.8070978142335593
Utonia,curtain,49395,12659,564499,30810,0.07514113206858311,0.019257244475274694,0.8587325419897378,0.04686908146640441,0.25628100010122484
Utonia,refridgerator,13360,12920,181866,15112,0.05984108072275126,0.057870266686972024,0.8146001487068772,0.06768850388339948,0.9670658682634731
