variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
knn_adapt_k5_tau0p1_lam0p4,0.77791640,-0.00040883,0.87845051,0.91948096,0.68023233,-0.00059339,0.40864140,-0.00106079,0.42382449,-0.01208531,0.68712288,0.69909129,0.69920209,0.72237424,0.75638887,0.78880553
knn_adapt_k5_tau0p05_lam0p4,0.77790341,-0.00042181,0.87844406,0.91947915,0.68021093,-0.00061479,0.40863995,-0.00106225,0.42382449,-0.01208531,0.68713146,0.69906950,0.69913042,0.72236951,0.75637554,0.78876013
knn_k20_tau0p05_lam0p2,0.77789485,-0.00043037,0.88097860,0.91887284,0.68063012,-0.00019560,0.40955100,-0.00015119,0.40969042,-0.02621938,0.68859404,0.70022166,0.69854732,0.72195530,0.75308438,0.79245712
knn_k10_tau0p1_lam0p2,0.77783169,-0.00049353,0.88095483,0.91885559,0.68046924,-0.00035647,0.40944937,-0.00025283,0.40968078,-0.02622902,0.68867265,0.69989890,0.69803605,0.72210286,0.75300233,0.79212256
knn_k10_tau0p05_lam0p2,0.77782319,-0.00050203,0.88095293,0.91885548,0.68043737,-0.00038834,0.40946555,-0.00023664,0.40965185,-0.02625794,0.68861588,0.69990607,0.69791914,0.72209009,0.75299351,0.79207138
knn_k5_tau0p05_lam0p2,0.77777248,-0.00055274,0.88092103,0.91884121,0.68028023,-0.00054548,0.40938935,-0.00031285,0.40962775,-0.02628205,0.68845081,0.69964099,0.69770463,0.72211991,0.75283548,0.79182046
knn_k5_tau0p1_lam0p2,0.77777219,-0.00055303,0.88092074,0.91884071,0.68027936,-0.00054635,0.40937094,-0.00033125,0.40963739,-0.02627240,0.68845480,0.69962592,0.69770758,0.72211849,0.75282773,0.79185008
knn_k50_tau0p1_lam0p4,0.76894980,-0.00937543,0.88807666,0.91280549,0.66891486,-0.01191086,0.35968620,-0.05001599,0.35684191,-0.07906788,0.68741808,0.68907715,0.68662053,0.72094297,0.73393901,0.80472005
knn_k50_tau0p05_lam0p4,0.76873037,-0.00959486,0.88810721,0.91273671,0.66856878,-0.01225694,0.35922868,-0.05047351,0.35678406,-0.07912573,0.68713364,0.68802779,0.68618897,0.72099987,0.73391348,0.80448903
knn_k20_tau0p1_lam0p4,0.76708071,-0.01124451,0.88791597,0.91215344,0.66623189,-0.01459382,0.35338279,-0.05631941,0.35623933,-0.07967046,0.68590413,0.68368944,0.68325571,0.72097062,0.73295961,0.80346096
knn_k20_tau0p05_lam0p4,0.76695698,-0.01136824,0.88793422,0.91211529,0.66603797,-0.01478774,0.35310449,-0.05659770,0.35616220,-0.07974759,0.68579162,0.68290941,0.68312729,0.72100712,0.73295205,0.80337381
knn_k10_tau0p1_lam0p4,0.76564950,-0.01267573,0.88774112,0.91172464,0.66424886,-0.01657686,0.34884563,-0.06085656,0.35562712,-0.08028268,0.68435963,0.67905739,0.68089179,0.72091846,0.73248286,0.80318625
knn_k10_tau0p05_lam0p4,0.76554703,-0.01277819,0.88772630,0.91169674,0.66409681,-0.01672890,0.34861268,-0.06108951,0.35560783,-0.08030196,0.68431381,0.67856280,0.68071017,0.72089927,0.73243856,0.80314040
knn_k5_tau0p1_lam0p4,0.76396943,-0.01435579,0.88739493,0.91127833,0.66188192,-0.01894380,0.34365711,-0.06604509,0.35524629,-0.08066351,0.68223886,0.67443238,0.67751265,0.72033908,0.73183355,0.80315981
knn_k5_tau0p05_lam0p4,0.76388887,-0.01443636,0.88737528,0.91126094,0.66176382,-0.01906190,0.34346784,-0.06623435,0.35524147,-0.08066833,0.68214374,0.67415354,0.67729469,0.72034940,0.73181558,0.80312194
