variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s4_mean_conf_thr0p7_a0p25,0.77826526391172,-0.0005414676630413062,0.680841752414897,-0.001004149010246258,0.40591513542297325,-0.0016755034205798713,0.44058580229654554,0.0027670384975077567
phrd_s8_mean_top_gap_thr0p95_a0p5,0.7782546422582262,-0.0005520893165351648,0.6814427894339433,-0.0004031119911999115,0.4075561060915183,-3.453275203479933e-05,0.43788625254287944,6.748874384165937e-05
phrd_s4_mean_conf_thr0p9_a0p5,0.7781681635252282,-0.0006385680495331059,0.681441199583146,-0.000404701841997257,0.4074250807747085,-0.00016555806884460678,0.43791999691480027,0.00010123311576248906
phrd_s4_pred_agreement_thr0p8_a0p75,0.7781650505053259,-0.0006416810694354069,0.6811053711830403,-0.0007405302421029658,0.4061480593228677,-0.0014425795206854386,0.44018086983349564,0.002362106034457856
phrd_s4_region_entropy_score_thr0p9_a0p5,0.7781607052836087,-0.0006460262911526238,0.681333278155913,-0.0005126232692301835,0.4070793558259854,-0.0005112830175676986,0.43850329248657455,0.0006845286875367673
phrd_s4_mean_conf_thr0p95_a1p0,0.7781237642571597,-0.000682967317601646,0.6815988903923852,-0.0002470110327580377,0.40757525528326133,-1.5383560291792886e-05,0.4378139431744777,-4.820624560086806e-06
phrd_s4_pred_agreement_thr0p8_a1p0,0.7781100552695167,-0.0006966763052446145,0.6810595804275623,-0.0007863209975809138,0.40612061927809184,-0.001470019565461278,0.4401471254615748,0.0023283616625370263
phrd_s8_mean_conf_thr0p9_a0p25,0.7781084647652905,-0.0006982668094708266,0.680966732079299,-0.0008791693458441996,0.40616453840712335,-0.001426100436429767,0.4401471254615748,0.0023283616625370263
phrd_s4_mean_top_gap_thr0p8_a0p5,0.7780994050344253,-0.0007073265403360063,0.6813471574775101,-0.0004987439476331623,0.40738204428643743,-0.0002085945571156933,0.43797302378496156,0.000154259985923777
phrd_s8_mean_top_gap_thr0p8_a0p25,0.7780459342617949,-0.0007607973129664103,0.6808596864444556,-0.0009862149806876275,0.40610617984493846,-0.0014844589986146572,0.4402724617001379,0.002453697901100116
phrd_s8_region_conf_thr0p95_a0p25,0.7780278895636885,-0.0007788420110728111,0.6806602214473926,-0.0011856799777506533,0.40616340582752525,-0.0014272330160278734,0.44082683352455143,0.0030080697255136513
phrd_s8_region_entropy_score_thr0p6_a0p25,0.7779922881257144,-0.0008144434490469088,0.6804457892276641,-0.001400112197479153,0.40603644646924814,-0.0015541923743049857,0.44490026127785115,0.00708149747881337
phrd_s4_mean_top_gap_thr0p9_a1p0,0.7779742313027572,-0.0008325002720040997,0.6815017532561577,-0.00034414816898553635,0.40757525528326133,-1.5383560291792886e-05,0.4378139431744777,-4.820624560086806e-06
phrd_s4_region_entropy_score_thr0p9_a0p75,0.7779676341747115,-0.0008390974000498375,0.6812685957530569,-0.000577305672086359,0.4070720687896231,-0.0005185700539300231,0.43849847186201446,0.0006797080629766805
phrd_s4_region_entropy_score_thr0p9_a1p0,0.7779670246342709,-0.0008397069404904034,0.6812684462836099,-0.0005774551415332896,0.4070720687896231,-0.0005185700539300231,0.43849847186201446,0.0006797080629766805
phrd_s8_mean_conf_thr0p6_a0p25,0.7779550884220577,-0.000851643152703585,0.6803662644362299,-0.001479636988913291,0.40613184495485977,-0.001458793888693355,0.44481349003576903,0.006994726236731252
phrd_s8_region_entropy_score_thr0p9_a0p25,0.7779375976391292,-0.0008691339356321492,0.680488384573919,-0.0013575168512242053,0.4060659427385527,-0.0015246961050004448,0.44136192285072456,0.003543159051686784
phrd_s8_region_conf_thr0p6_a0p25,0.7779167359969024,-0.0008899955778589597,0.6802928706044676,-0.0015530308206755938,0.4059586348774841,-0.0016320039660689956,0.4449581087725726,0.0071393449735348
phrd_s4_region_conf_thr0p9_a0p5,0.7778977095622694,-0.000909022012491878,0.6809068642913255,-0.0009390371338177106,0.406657314118097,-0.0009333247254560972,0.4391106911811494,0.0012919273821116461
phrd_s4_pred_agreement_thr0p7_a0p5,0.7778954369690403,-0.0009112946057210358,0.6806786192102354,-0.0011672822149078055,0.40507197210123497,-0.002518666742318154,0.44231158588906777,0.004492822090029991
phrd_s8_region_entropy_score_thr0p7_a0p25,0.7778253749893386,-0.0009813565854227546,0.6801428716484602,-0.0017030297766830182,0.4058451097335251,-0.0017455291100280101,0.4447170775445667,0.006898313745528906
