pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
counter_vs_cabinet,counter,cabinet,patch_proj,balanced,0.556928962469101,0.036180698691990205,0.4829303525388241,0.630176068842411,0.6166872978210449,0.04870523922744115,0.5204750373959541,0.6965411990880966,0.6222222447395325,0.49163568019866943,0.4968777894973755,189,4277,45,1076,378,
counter_vs_cabinet,counter,cabinet,patch_proj,weighted,0.4923585392534733,0.024771697828719328,0.4557724017649889,0.536917607486248,0.5316604971885681,0.03288371154763626,0.4818793773651123,0.5992451533675194,0.1111111119389534,0.8736059665679932,0.8429973125457764,189,4277,45,1076,4466,22.62962962962963
counter_vs_cabinet,counter,cabinet,linear_feat_pooled,unweighted,0.5054523088037968,0.018330393020604317,0.47855844914447515,0.5456296496093272,0.5593143105506897,0.0333871069562954,0.49542853608727455,0.6209830924868583,0.06666667014360428,0.9442379474639893,0.9090098142623901,189,4277,45,1076,4466,
counter_vs_cabinet,counter,cabinet,linear_feat_pooled,balanced,0.4454357773065567,0.0361077328148221,0.38044402524828913,0.5150531910359859,0.46253615617752075,0.04117974603858758,0.3831423051655293,0.5367218971252441,0.35555556416511536,0.535315990447998,0.5280998945236206,189,4277,45,1076,378,
counter_vs_cabinet,counter,cabinet,linear_feat_pooled,weighted,0.4929058291018009,0.01896398405125278,0.45676114782691,0.5304910115897655,0.5718711018562317,0.035074433965849756,0.5130829125642776,0.6430421262979508,0.06666667014360428,0.9191449880599976,0.8849241733551025,189,4277,45,1076,4466,22.62962962962963
counter_vs_cabinet,counter,cabinet,linear_logits_pooled,unweighted,0.4961999077349901,0.014454263513224833,0.4730483293533325,0.5233826413750648,0.5808963179588318,0.033091581579583876,0.5149834677577019,0.6437582537531853,0.04444444552063942,0.9479553699493408,0.9116860032081604,189,4277,45,1076,4466,
counter_vs_cabinet,counter,cabinet,linear_logits_pooled,balanced,0.5347790271043777,0.03224531585032824,0.47793242111802103,0.5994787842035293,0.5157992839813232,0.042124908345771386,0.43074298948049544,0.5874772801995277,0.2888889014720917,0.7806691527366638,0.7609277367591858,189,4277,45,1076,378,
counter_vs_cabinet,counter,cabinet,linear_logits_pooled,weighted,0.5325382128357887,0.03502274250306693,0.47742410451173783,0.6150673881173133,0.5404171943664551,0.04121211153699503,0.4717585802078247,0.6300325214862822,0.24444444477558136,0.8206319808959961,0.7975022196769714,189,4277,45,1076,4466,22.62962962962963
desk_vs_wall,desk,wall,dino_exact,unweighted,0.5350966900587082,0.012201389761463578,0.5156864948570729,0.5573799625039101,0.6695569753646851,0.020346150278569126,0.6295225739479064,0.6993016541004181,0.1195652186870575,0.9506281614303589,0.9341110587120056,836,12000,184,9074,12836,
desk_vs_wall,desk,wall,dino_exact,balanced,0.6388774514198303,0.017226260291236802,0.6063224889338017,0.669567222893238,0.6957186460494995,0.019257183034184264,0.654502061009407,0.7316090658307075,0.695652186870575,0.5821027159690857,0.5843594670295715,836,12000,184,9074,1672,
desk_vs_wall,desk,wall,dino_exact,weighted,0.5600748956203461,0.015814770436296106,0.5373361811041832,0.5947488974779843,0.6640778183937073,0.020141720353435942,0.6325283512473107,0.7055538043379783,0.22826087474822998,0.8918889164924622,0.8786994814872742,836,12000,184,9074,12836,14.354066985645932
desk_vs_wall,desk,wall,encoder_pooled,unweighted,0.634778305888176,0.021296424423302915,0.6007071740925312,0.6788640726357699,0.7699548602104187,0.014762536640718662,0.7443328589200974,0.7994721338152886,0.41304346919059753,0.8565131425857544,0.8476992845535278,836,12000,184,9074,12836,
desk_vs_wall,desk,wall,encoder_pooled,balanced,0.6398890614509583,0.016338632859907373,0.6092135924845934,0.6666442196816206,0.6494038105010986,0.014607606900023388,0.6207166910171509,0.6759226471185684,0.7880434989929199,0.4917346239089966,0.4976236820220947,836,12000,184,9074,1672,
desk_vs_wall,desk,wall,encoder_pooled,weighted,0.6472572237253189,0.017221056795711346,0.6180298712104559,0.6786619313061237,0.7560582756996155,0.012802918507628097,0.734930282831192,0.7819918990135193,0.4728260934352875,0.8216883540153503,0.8147547841072083,836,12000,184,9074,12836,14.354066985645932
desk_vs_wall,desk,wall,patch_proj,unweighted,0.5505134090781212,0.01355477847613761,0.5266621388494969,0.5820278495550155,0.7691606879234314,0.011256416061855389,0.7481225073337555,0.7907601356506347,0.18478260934352875,0.9162442088127136,0.9017066359519958,836,12000,184,9074,12836,
desk_vs_wall,desk,wall,patch_proj,balanced,0.5711343288421631,0.020977180106769213,0.5281428426504136,0.6131534494459628,0.6098905205726624,0.018063760010233583,0.5782266080379486,0.646564869582653,0.5163043737411499,0.6259642839431763,0.6237848401069641,836,12000,184,9074,1672,
desk_vs_wall,desk,wall,patch_proj,weighted,0.5827531665563583,0.018458809047686944,0.5459420468658209,0.6202139254659415,0.7289981842041016,0.01253009559083878,0.707992984354496,0.751611040532589,0.3586956560611725,0.8068106770515442,0.7979044914245605,836,12000,184,9074,12836,14.354066985645932
desk_vs_wall,desk,wall,linear_feat_pooled,unweighted,0.5539842694997787,0.017185461309177398,0.5202745793387293,0.5840996015816927,0.6724234819412231,0.016492669859692475,0.6401872739195824,0.7012356460094452,0.28804346919059753,0.81992506980896,0.8093540668487549,836,12000,184,9074,12836,
