class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
17,sink,topk_plus_confusion_graph,3,31385,0.9680454026711083,0.9661308936975999,0.9699599116446167,32421
17,sink,topk_plus_confusion_graph,5,31670,0.9768360013571451,0.9751985799562596,0.9784734227580306,32421
2,cabinet,topk,1,388518,0.84947219282672,0.848435839051865,0.850508546601575,457364
2,cabinet,topk,2,418665,0.9153868691020719,0.9145802912277614,0.9161934469763824,457364
2,cabinet,topk,3,432594,0.9458418240176315,0.9451858806363349,0.9464977673989281,457364
2,cabinet,topk,5,447825,0.9791435268189014,0.9787293662992921,0.9795576873385107,457364
2,cabinet,topk,10,455859,0.9967094043256575,0.9965434278181574,0.9968753808331575,457364
2,cabinet,topk,20,457364,1.0,1.0,1.0,457364
2,cabinet,topk_plus_confusion_graph,1,397640,0.8694169195651603,0.8684403963302789,0.8703934428000417,457364
2,cabinet,topk_plus_confusion_graph,2,422204,0.923124688431971,0.9223526325960318,0.9238967442679102,457364
2,cabinet,topk_plus_confusion_graph,3,433233,0.9472389606527842,0.9465910553565989,0.9478868659489695,457364
2,cabinet,topk_plus_confusion_graph,5,447837,0.9791697641266037,0.9787558586491637,0.9795836696040437,457364
15,shower curtain,topk,1,31498,0.9690201507460391,0.9671365578648922,0.970903743627186,32505
15,shower curtain,topk,2,32403,0.9968620212275034,0.9962539933215064,0.9974700491335005,32505
15,shower curtain,topk,3,32460,0.9986155976003692,0.9982113836197796,0.9990198115809589,32505
15,shower curtain,topk,5,32470,0.9989232425780649,0.9985667044481057,0.999279780708024,32505
15,shower curtain,topk,10,32489,0.9995077680356869,0.9992666337420952,0.9997489023292785,32505
15,shower curtain,topk,20,32505,1.0,1.0,1.0,32505
15,shower curtain,topk_plus_confusion_graph,1,31498,0.9690201507460391,0.9671365578648922,0.970903743627186,32505
15,shower curtain,topk_plus_confusion_graph,2,32403,0.9968620212275034,0.9962539933215064,0.9974700491335005,32505
15,shower curtain,topk_plus_confusion_graph,3,32460,0.9986155976003692,0.9982113836197796,0.9990198115809589,32505
15,shower curtain,topk_plus_confusion_graph,5,32470,0.9989232425780649,0.9985667044481057,0.999279780708024,32505
7,door,topk,1,480538,0.8514274678370137,0.8504995508558495,0.852355384818178,564391
7,door,topk,2,551177,0.9765871532324222,0.976192651743771,0.9769816547210733,564391
7,door,topk,3,560528,0.9931554542861243,0.992940351041307,0.9933705575309416,564391
7,door,topk,5,563517,0.9984514281765655,0.9983488405034662,0.9985540158496649,564391
7,door,topk,10,564227,0.9997094213054425,0.9996649546148906,0.9997538879959944,564391
7,door,topk,20,564391,1.0,1.0,1.0,564391
7,door,topk_plus_confusion_graph,1,536954,0.9513865387647925,0.9508254613278616,0.9519476162017234,564391
7,door,topk_plus_confusion_graph,2,562784,0.9971526831575982,0.997013667166234,0.9972916991489624,564391
7,door,topk_plus_confusion_graph,3,564076,0.9994418762878926,0.9993802579414435,0.9995034946343417,564391
7,door,topk_plus_confusion_graph,5,564348,0.9999238116837441,0.999901040077021,0.9999465832904673,564391
