variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
avgprobT2::Concerto decoder+Utonia,0.7867428443530677,0.8778230641905918,0.9235248775022049,0.6906404240950783,0.41699043244170336,0.8781950104155628,0.7007761315140948,0.7374850415683624,0.7782115754697878,0.44651517050549067
avgprobT2::Concerto fullFT+PTv3_supervised,0.8020896109666736,0.8765352807395483,0.9300050104436731,0.7085070064044003,0.4349100480043067,0.8868688602517368,0.720173450897976,0.7784927142298496,0.7774714737089008,0.43181226559713076
avgprobT2::Sonata linear+Concerto fullFT,0.8001284571652718,0.8791132820381753,0.9294705222427413,0.7060502012972905,0.4379957790553815,0.8875738235976836,0.7095391583959433,0.7828946730804643,0.7775669422575057,0.4098109351047522
avgprobT2::Sonata linear+PTv3_supervised,0.7688182601708554,0.8493327952258438,0.9172661706091465,0.6652699508129328,0.3911737621858109,0.870643004610858,0.7054675455432147,0.710438090723823,0.7249428422932022,0.5055485388686958
avgprobT2::Sonata linear+Utonia,0.7590479110239718,0.8578248742372938,0.9124485027669477,0.6611811409017055,0.3870564040733942,0.8644165181236054,0.6763016196812534,0.7064739173443205,0.7379475176245781,0.49302455626150926
avgprobT2::Utonia+Concerto fullFT,0.8036540383705744,0.8831362814937906,0.9306543224733588,0.7091723727459379,0.4369308104932158,0.8877480206375126,0.7205130071923698,0.7854917127000375,0.7850988061258534,0.4090203526768928
avgprobT2::Utonia+PTv3_supervised,0.7856432040060083,0.8620360309836033,0.9236900621704145,0.6804161384065824,0.3956958222995137,0.8763232970795167,0.7029780745327262,0.7283153017588221,0.7573731293068747,0.5095544778781539
maxconf::Concerto decoder+Concerto fullFT,0.8046079156994453,0.8846179474343252,0.9311167392128448,0.7097081258750103,0.4350790784217149,0.8891257773907083,0.7178483744350788,0.7805789769895412,0.784106480784419,0.41469904840871186
maxconf::Concerto decoder+PTv3_supervised,0.7886838933275663,0.8661794584193666,0.9249469093076251,0.6891284826830856,0.397305004593742,0.8798929306484373,0.708193281469604,0.736273038109295,0.7603501856677155,0.5094243210150307
maxconf::Concerto decoder+Sonata linear,0.7782305603160056,0.8712585649584499,0.9206604688925805,0.677739382093015,0.4008019794173633,0.8763767982254149,0.6957046332046329,0.7253743816417855,0.7477081198492842,0.46367659393951083
maxconf::Concerto decoder+Sonata linear+Utonia+Concerto fullFT+PTv3_supervised,0.80341483494321,0.8800153587923522,0.9310092451576255,0.7094627602256437,0.4333121438549876,0.8900112109749653,0.7201972522233856,0.7825903387172531,0.7822110399461665,0.44380115887814425
maxconf::Concerto decoder+Utonia,0.7849864525737991,0.8772152507563131,0.9229427875780907,0.6879701216223415,0.41463351271107796,0.8774114515934464,0.6981811228220152,0.7362312657617517,0.7761733161411424,0.4456908437057105
maxconf::Concerto fullFT+PTv3_supervised,0.8007127694336926,0.8761737446256894,0.9297421976511615,0.7064600138129834,0.4326728336596522,0.8869543721947502,0.7196359681041699,0.7760254703979462,0.7750380983421715,0.4351867027892134
maxconf::Sonata linear+Concerto fullFT,0.7985444080286326,0.8785001361481489,0.9289487705684454,0.7043690819763001,0.43851156886419745,0.8873067984233206,0.7086690860183884,0.7806302293151534,0.7752026356327556,0.4096325719960278
maxconf::Sonata linear+PTv3_supervised,0.7671483323537223,0.8488966068875643,0.9167153506694647,0.6637388315710614,0.3929656716069915,0.8700380448679185,0.702062742233793,0.7080589299304525,0.724410207236628,0.5013160305049122
maxconf::Sonata linear+Utonia,0.7562691225027374,0.8571710292260979,0.911560206676203,0.6584440666775554,0.38549187339606483,0.8641035486250234,0.6723221168498231,0.7010255291293912,0.7353470456293395,0.48960673344838557
maxconf::Utonia+Concerto fullFT,0.802713916632726,0.8827544196052134,0.9303517672585649,0.7077578000908064,0.43658853505034134,0.8875247570612843,0.7198584680118578,0.7839217777777778,0.7845361929116664,0.40910712391897497
maxconf::Utonia+PTv3_supervised,0.782418906763699,0.8606060723874167,0.9227977249497743,0.6772960880824825,0.3956018353985514,0.8760281810262674,0.7011161589373427,0.7262796127416532,0.7543358377155939,0.5086819448327725
maxmargin::Concerto decoder+Concerto fullFT,0.804566945624788,0.8846228321026967,0.9311346595336916,0.7097393511343356,0.4351547431176572,0.8891996027463811,0.7180110816972122,0.7803658862424069,0.784205170687479,0.4153401914752075
